UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
18001115,Sébastien Siani,38,75 kg,175 cm,,-,CMR,1e Provenciale West-Vlaanderen,KSV Bredene,N/A,-,"DM, M (C)",-,41,"3,690",66%,0.24,0.11,0,0,-,-,0,13%,0.68,0.1,0,0.06,0,2.12,84%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
18004481,Jérémy Serwy,33,60 kg,172 cm,,-,BEL,Division 3 amateur ACFF B,RSC Habay-La-Neuve,N/A,-,M/AM (R),-,41,"3,690",72%,0.17,0.1,0,0,-,-,0,-,-10.95,0.93,0,0.27,0,0.83,83%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
2002087177,Charlie Houghton,20,71 kg,180 cm,,-,AUS,Western Australia State League Division 1,Murdoch University Melville FC,N/A,-,D (RC),-,23,"2,070",71%,0.17,0,0,0,-,-,0,6%,-1.05,0.13,0,0.09,0,1.65,95%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
76033174,Jhonatan Pérez,36,69 kg,175 cm,,-,COL,National Premier Soccer League West Region,El Farolito,N/A,-,D/WB (R),-,10,930,79%,0.19,0.18,5.03,1.06,0.39,9%,0.39,2%,-2.37,0.87,1.65,0.33,0,2.71,90%,1.16,0.1,0.87,8.13,69%,5.61,0.68,17.52,10.74,12.39,0.58,12.7km,1.94,6.68,-,-,-,-
37073834,Mohamed Ihattaren,23,90 kg,183 cm,,-,NED,FAČR Lower Leagues,Olympia,N/A,-,"M (R), AM (RC)",-,42,"3,780",72%,0.21,0.11,0,0,-,-,0,5%,-4.2,0.67,0,0.17,0,0.79,79%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
37085125,Li Sam,22,68 kg,178 cm,,-,CHN,Treća Hrvatska Liga,Dubrava,N/A,-,D/WB (R),-,31,"2,858",86%,0.03,0.1,3.68,1.32,0.13,12%,1.01,-,-1.06,0.03,0.09,0.03,0,2.61,89%,1.29,0.06,0.35,4.79,51%,2.46,0.57,7.18,14.08,13.89,1.2,12.1km,2.8,10.27,-,-,-,-
57118224,Radu Mîţu,30,83 kg,187 cm,,-,MDA,Prima Categoria Liguria Girone B,Vadese (SV),N/A,-,GK,-,42,"3,799",62%,-,0,0,0,-,-,-,-,0,-,-,0,0,-,-,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,0,0,0,0
48043502,Maël Sedagondji,25,83 kg,193 cm,,-,BEN,Beninese Ligue 1 - Pool C,Coton FC,N/A,-,D (R),-,25,"2,455",70%,0.18,0.13,0.22,0,-,50%,0.04,10%,0.19,0.07,0,0.03,0,1.72,100%,0,0,0,0.37,90%,0.33,0.04,0.44,0.73,0.29,0.04,0.4km,0.04,0.29,-,-,-,-
42074763,Joseph Ganda,28,78 kg,186 cm,,Torn knee ligaments,ISR,Liga Alef - Tsafon,Maccabi Jaffa,"€157,000 p/a",31/5/2025,M/AM (R),-,19,"1,849",70%,0.1,0.06,0,0,-,-,0,10%,-0.71,0.29,0,0.13,0,1.36,80%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
2000091503,Paul Bismarck Tabinas,22,75 kg,185 cm,,-,PHI,SuperSport Prva NL,Vukovar 1991,"€6,000 p/a",15/6/2025,D (C),-,20,"1,717",90%,-,0.02,3.83,0.42,-,21%,0.21,20%,0.74,0.21,0.16,0.07,0,1.15,85%,1.36,0.21,0.52,8.02,58%,4.61,0.42,14,3.56,6.08,0.31,11.0km,1.36,3.72,-,-,-,-
