UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
43298002,Marco Carnesecchi,24,83 kg,191 cm,,-,ITA,Serie A enilive,Atalanta,"€190,000 p/a",30/6/2027,GK,-,24,"2,190",77%,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0%,0.82,0,0,-,-,-,-,2.51,11.18,0,-,6.8km,0,0,9,36,16,-0.05
67216745,Javi Sánchez,27,76 kg,189 cm,,-,ESP,LaLiga EA SPORTS,Valladolid,"€1,508,000 p/a",30/6/2027,D (C),-,14,"1,046",96%,-,0.05,5.16,0.6,0.17,0%,0,33%,0.55,0.09,0,0.04,0,1.12,68%,1.03,0.34,0.6,6.54,72%,4.73,0.6,11.62,4.13,5.94,0.17,11.5km,1.38,3.1,-,-,-,-
92065574,Patrick Mainka,30,86 kg,194 cm,,-,GER,Bundesliga,Heidenheim,"€848,000 p/a",30/6/2026,D (C),-,25,"2,310",93%,-,0.03,3.08,0.19,0.12,0%,0,6%,-0.91,0.08,0.23,0.07,0,1.21,86%,1.29,0.19,1.32,7.4,82%,6.08,0.43,15.47,3.12,5.26,0.23,11.1km,0.94,2.73,-,-,-,-
28101903,Reece Oxford,26,86 kg,193 cm,,-,ENG,Bundesliga,Augsburg,"€1,296,000 p/a",30/6/2024,"D (C), DM",DM,14,"1,243",92%,0.22,0.06,4.49,0.51,0.22,0%,0,-,-1,0,0.14,0.07,0,1.01,78%,1.81,0.29,0.51,7.75,86%,6.66,0.65,14.05,3.48,4.56,0.07,11.0km,0.94,3.26,-,-,-,-
2000096330,Alejo Veliz,21,77 kg,187 cm,,-,ARG,LaLiga EA SPORTS,Espanyol,"€1,819,000 p/a",30/6/2024,ST (C),-,21,"1,777",85%,-,0.07,0.71,0.56,0.25,17%,0.1,14%,0.55,1.27,0.76,0.29,0,0.96,56%,0.35,0,0.15,7.7,34%,2.63,0.1,1.72,21.32,6.13,0.51,11.5km,1.82,6.48,-,-,-,-
92084880,Maxim Leitsch,26,75 kg,188 cm,,-,GER,Bundesliga,Mainz 05,"€997,000 p/a",30/6/2025,D (C),-,17,"1,455",93%,-,0.11,4.27,0.43,0.06,0%,0,-,-0.15,0.06,0,0.01,0,1.36,96%,1.3,0.43,0.8,8.16,65%,5.32,0.49,13.36,4.14,5.51,0.19,11.7km,1.3,3.15,-,-,-,-
211515,Baptiste Santamaria,29,81 kg,183 cm,,-,FRA,Ligue 1 McDonald's,OGC Nice,"€780,000 p/a",30/6/2025,"DM, M (C)",-,21,"1,843",90%,0.05,0.19,5.86,0.83,0.24,20%,0.05,5%,-0.62,0.15,0.39,0.08,0,2.05,69%,0.34,0.15,0.05,2.39,35%,0.83,0.34,11.13,7.33,12.11,0.93,12.9km,3.08,10.16,-,-,-,-
13139098,Moses Simon,29,66 kg,168 cm,,-,NGA,Ligue 1 McDonald's,FC Nantes,"€1,794,000 p/a",30/6/2025,"M (L), AM (RL)",M (L),17,"1,263",81%,0.29,0.27,2.71,1.43,0.29,8%,0.21,11%,0.81,0.71,0.57,0.16,0,3.56,89%,0.64,0,0,2.99,14%,0.43,0.21,5.06,21.45,15.32,3.14,12.9km,4.06,12.04,-,-,-,-
80000968,Cristian Gamboa,35,67 kg,175 cm,,-,CRC,Bundesliga,VfL Bochum,"€748,000 p/a",30/6/2024,D/WB (R),-,15,"1,289",85%,0.07,0.03,4.61,0.84,0.07,10%,0.14,11%,0.14,0.14,0.28,0.06,0,2.44,76%,1.4,0.21,0.21,4.68,52%,2.44,0.84,8.87,18.78,18.78,1.61,13.2km,2.3,7.05,-,-,-,-
92021650,Anthony Jung,33,83 kg,186 cm,,-,GER,Bundesliga,SV Werder,"€897,000 p/a",30/6/2024,"D (LC), WB (L)",-,15,"1,345",85%,0.13,0.09,3.14,1.2,0.13,19%,1.2,-,-0.13,0.07,0.07,0.01,0,3.01,82%,0.8,0.13,0.54,5.02,65%,3.28,0.27,10.37,14.32,14.86,1.27,12.5km,2.61,12.78,-,-,-,-
91190768,Noah Weißhaupt,23,72 kg,181 cm,,-,GER,Bundesliga,St. Pauli,"€798,000 p/a",30/6/2026,"WB/M (L), AM (RL)",AM (R),17,"1,401",78%,0.19,0.15,3.02,1.22,0.45,22%,0.77,-,-0.95,0.19,0.26,0.06,0,3.15,80%,0.71,0,0.06,5.07,18%,0.9,0.39,4.11,14.39,15.61,2.44,12.7km,4.5,11.18,-,-,-,-
84161623,Aurèle Amenda,21,90 kg,197 cm,,-,SUI,Bundesliga,Eintracht Frankfurt,"€1,197,000 p/a",30/6/2028,D (C),-,9,"1,013",87%,0.09,0.04,4.62,0.36,0.09,0%,0,14%,0.53,0.27,0.27,0.04,0,1.42,80%,1.69,0.27,0.89,7.55,65%,4.89,0.71,11.82,4,5.06,-,11.6km,1.24,3.82,-,-,-,-
67271025,Adrián Bernabé,23,71 kg,170 cm,,-,ESP,Serie A enilive,Parma,"€1,222,000 p/a",30/6/2028,"DM, M/AM (C)",AM (C),21,"1,664",89%,0.05,0.31,5.19,0.81,0.11,17%,0.05,7%,-0.16,0.32,0.11,0.06,0,2.33,74%,0.38,0.16,0,2.22,24%,0.54,0.49,10.33,7.79,11.25,1.03,12.5km,2.97,10.06,-,-,-,-
43274094,Samuele Birindelli,25,68 kg,176 cm,,-,ITA,Serie A enilive,Monza,"€830,000 p/a",30/6/2025,D/WB (R),-,19,"1,620",88%,0.17,0.08,6.06,0.72,0.17,16%,0.33,-,-1.39,0.17,0.11,0.08,0,2.83,76%,0.89,0.22,0.11,3.78,51%,1.94,0.67,11.5,12.33,15.17,1.78,12.8km,3.06,9,-,-,-,-
