UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
2000121679,Andisani Malada,21,76 kg,186 cm,,-,RSA,National First Division,Super Eagles FC,"€21,500 p/a",-,30/6/2027,M/AM (C),-,7,416,90%,-,0.09,4.54,1.08,0.22,9%,0.22,-,-0.67,0,-,0.22,0.14,0,0.43,1.51,88%,0.65,0,0.22,5.63,58%,3.25,0.87,14.5,13.41,6.06,1.3,11.2km,2.38,8.87,-,-,-,-,-,-,-
2000290039,Lungelo Ntshangase,21,70 kg,180 cm,,-,RSA,DStv Premiership,Cape Town City,"€19,000 p/a",-,30/6/2026,M (C),-,-,19,71%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000185160,Ethan Felix,22,71 kg,181 cm,,-,RSA,DStv Premiership,Stellenbosch FC,"€17,750 p/a",-,30/6/2026,M (C),-,-,21,95%,-,-,-,-,-,100%,-,-,0,-,-,-,-,0,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000145913,Lungile Nkosi,22,70 kg,177 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€20,500 p/a",-,30/6/2026,GK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000243976,Thokozile Nkabinde,24,58 kg,166 cm,,-,RSA,DStv Premiership,Polokwane City,"€32,500 p/a",-,30/6/2026,M/AM (L),M (L),2,90,81%,-,0.19,4,1,-,13%,1,-,-0.04,1,-,1,0.04,0,0.19,2,100%,2,0,0,3,33%,1,-,8,13,7,1,13.2km,3,14,-,-,-,-,-,-,-
2000206567,Blessing Molefe,17,78 kg,192 cm,,-,RSA,DStv Premiership,Sundowns,"€31,000 p/a",-,30/6/2026,D/WB (L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000288689,Gundo Ramugondo,23,64 kg,171 cm,,-,RSA,DStv Premiership,Maritzburg Utd,"€33,500 p/a",-,30/6/2027,M (C),-,-,0,100%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000243948,Kopano Senosi,21,73 kg,185 cm,,-,RSA,DStv Premiership,Polokwane City,"€16,250 p/a",-,30/6/2026,AM (R),-,-,22,100%,-,-,-,-,-,0%,-,-,-0.03,-,-,-,-,0,0,-,-,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000288617,Manelisi Sithole,22,72 kg,181 cm,,-,RSA,National First Division,AmaTuks,"€33,500 p/a",-,30/6/2026,AM (R),-,-,105,88%,-,0.09,1.71,1.71,-,0%,0,-,-0.19,0.86,-,0,0.16,0,0.1,0.86,50%,0.86,0,0,7.71,0%,0,-,1.71,23.14,9.43,2.57,10.0km,1.71,11.14,-,-,-,-,-,-,-
2000145755,Zinedine De Kock,23,79 kg,189 cm,,-,RSA,National First Division,NB La Masia,"€30,000 p/a",-,30/6/2026,ST (C),-,-,81,79%,-,0,0,0,-,0%,0,25%,0.27,1.11,1.11,2.22,0.81,0,0,1.11,100%,0,0,0,8.89,38%,3.33,1.11,1.11,10,1.11,1.11,0.0km,0,1.11,-,-,-,-,-,-,-
2000294545,Sanele Sikhosana,22,77 kg,186 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€15,750 p/a",-,30/6/2026,ST (C),-,-,22,100%,-,-,-,-,-,0%,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000294516,Oageng Phiri,22,70 kg,181 cm,,-,RSA,DStv Premiership,Sekhukhune Utd,"€18,250 p/a",-,30/6/2026,M/AM (R),M (R),-,39,82%,-,-,-,-,-,0%,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000145966,Kabelo Kgositsile,21,66 kg,176 cm,,-,RSA,DStv Premiership,Baroka,"€20,000 p/a",-,30/6/2026,"DM, M (C)",-,1,171,92%,-,0.38,7.89,2.11,1.05,67%,1.05,-,-0.03,0,-,0.53,0.02,0,0.72,2.63,83%,1.05,0,0,4.74,44%,2.11,-,5.79,7.37,9.47,1.05,13.1km,2.63,10,-,-,-,-,-,-,-
2000261067,Leago Lusenga,24,65 kg,173 cm,,-,RSA,National First Division,NB La Masia,"€30,500 p/a",€2.2K,30/6/2026,AM (R),-,-,71,76%,-,-,-,-,-,0%,-,-,0,-,-,-,-,0,0.2,-,100%,-,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000274409,Thabang Moleko,17,67 kg,179 cm,,-,RSA,DStv Premiership,Swallows,"€22,000 p/a",-,30/6/2027,"AM (C), ST (C)",-,-,124,85%,-,0,0.73,0,-,-,0,33%,0.16,1.45,0.73,0.73,0.61,0,0,0.73,50%,0,0,0,13.06,28%,3.63,1.45,2.9,5.81,5.08,0.73,12.8km,0,5.81,-,-,-,-,-,-,-
2000294091,Pfunzo Ramunasi,21,75 kg,186 cm,,-,RSA,DStv Premiership,SuperSport Utd,"€17,500 p/a",-,30/6/2026,D (L),-,-,53,70%,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0.02,-,100%,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000142373,Aphelele Mabongo,22,74 kg,186 cm,,-,RSA,DStv Premiership,Cape Town City,"€19,250 p/a",-,30/6/2026,M/AM (C),M (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000250744,Musa Magagula,23,82 kg,194 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€30,500 p/a",-,30/6/2026,GK,-,1,90,41%,-,0,0,0,-,-,-,-,0,-,-,-,0,0,0,-,-,7,0,0,-,-,-,-,2,12,0,-,4.4km,0,0,0,1,0,0,2,76%,33%
2000248902,Breyton Cleophas,20,67 kg,175 cm,,-,RSA,National First Division,Casric Stars,"€12,000 p/a",-,30/6/2026,M (C),-,-,147,91%,-,0.06,3.67,1.22,0.61,-,0,-,0,-,-,0,0,0,0.09,2.45,80%,1.22,0.61,0,3.67,33%,1.22,-,7.35,10.41,6.73,-,9.9km,3.67,8.57,-,-,-,-,-,-,-
