UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
65010145,Ronwen Williams,34,76 kg,184 cm,,-,RSA,DStv Premiership,Sundowns,"€249,000 p/a",-,30/6/2027,GK,-,40,"3,572",67%,0.03,0.01,0.5,0,-,-,-,-,0,-,-,-,0,0,0.23,0.1,44%,6.55,0,0,-,-,-,-,5.49,7.79,0.08,-,4.5km,0,0,24,68,55,0.29,1.11,85%,81%
65033785,Teboho Mokoena,29,68 kg,176 cm,,-,RSA,DStv Premiership,Sundowns,"€654,000 p/a",-,30/6/2027,"DM, M (C)",-,23,"1,815",88%,0.2,0.19,7.59,1.74,0.3,13%,0.05,27%,2.02,0.79,0.4,0.94,0.14,0,3.76,1.98,73%,0.4,0.1,0.2,3.87,45%,1.74,0.25,11.9,9.27,5.8,0.5,12.7km,3.42,10.66,-,-,-,-,-,-,-
83319987,Patrick Maswanganyi,27,68 kg,178 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€353,000 p/a",-,30/6/2028,AM (RC),-,25,"2,201",84%,0.33,0.36,4.09,2.13,0.7,19%,0.37,16%,0.1,0.98,0.33,0.7,0.29,0,8.79,1.06,81%,0.53,0.08,0,5.93,48%,2.82,0.29,6.79,9.57,9.12,1.68,13.4km,2,7.61,-,-,-,-,-,-,-
14196911,Matías Esquivel,26,63 kg,165 cm,,-,ARG,DStv Premiership,Sundowns,"€230,000 p/a",-,30/6/2028,M/AM (RC),"M (R), AM (C)",32,"2,702",89%,0.53,0.3,6.96,1.8,0.7,21%,0.4,5%,-2.41,0.9,0.1,1.37,0.15,0,9.1,1.97,79%,0.63,0.07,0.07,3.1,30%,0.93,0.37,10.66,10.43,8.93,1.1,13.0km,4.06,12.99,-,-,-,-,-,-,-
65030271,Iqraam Rayners,30,69 kg,176 cm,,-,RSA,DStv Premiership,Sundowns,"€522,000 p/a",-,30/6/2028,"AM (RC), ST (C)",-,22,"1,935",89%,0.19,0.14,1.3,0.98,0.37,23%,0.37,23%,1.37,0.98,0.56,0.98,0.42,0,3.05,1.16,89%,0.47,0,0,7.95,20%,1.63,0.19,3.53,9.63,4.65,1.58,12.0km,2.14,6.51,-,-,-,-,-,-,-
65029935,Aubrey Modiba,30,66 kg,171 cm,,-,RSA,DStv Premiership,Sundowns,"€432,000 p/a",-,30/6/2028,"D/WB (L), M (RL), AM (L)","M (R), AM (L)",20,"1,679",83%,0.32,0.25,5.47,1.55,0.48,18%,0.86,11%,-0.31,0.43,0.11,0.21,0.12,0,4.66,2.09,75%,0.48,0.05,0.16,3.32,40%,1.34,0.38,8.31,12.06,15.6,3.65,13.5km,2.68,10.4,-,-,-,-,-,-,-
65028567,Rivaldo Coetzee,29,75 kg,178 cm,,-,RSA,DStv Premiership,Sundowns,"€482,000 p/a",-,30/6/2027,"D (C), DM, M (C)",-,20,"1,793",90%,0.15,0.09,6.12,0.55,0.2,25%,0.05,11%,0.71,0.3,0.1,0.2,0.06,0,1.73,1.15,77%,0.9,0.3,1.31,8.03,81%,6.53,0.55,15.81,5.97,4.37,0.25,11.5km,1.81,4.82,-,-,-,-,-,-,-
13208828,Ammar Hamdi,26,64 kg,168 cm,,-,EGY,DStv Premiership,Sekhukhune Utd,"€182,000 p/a",-,30/6/2027,"D/WB (R), M/AM (RC)","WB (R), M (RC), AM (C)",8,720,82%,0.25,0.27,6.25,1.88,0.5,24%,0.75,20%,0.44,0.5,0.25,0.25,0.2,0,2.17,2,84%,1.25,0,0.12,5.88,28%,1.62,0.5,6.38,9.88,12.12,1.75,12.8km,2.5,9.62,-,-,-,-,-,-,-
86041320,José Sagredo,32,69 kg,180 cm,,-,BOL,DStv Premiership,Orlando Pirates,"€204,000 p/a",-,30/6/2027,D (LC),D (L),10,875,92%,-,0.07,5.04,0.82,0.21,33%,0.51,-,-0.08,0.1,-,0,0.01,0,0.65,2.37,88%,1.44,0,0.51,6.07,61%,3.7,0.82,10.9,5.97,8.13,0.72,11.8km,1.13,5.97,-,-,-,-,-,-,-
65035924,Sipho Mbule,27,74 kg,180 cm,,-,RSA,DStv Premiership,Sundowns,"€459,000 p/a",-,30/6/2029,"M (LC), AM (C)",AM (C),25,"1,835",88%,0.34,0.23,5.15,1.47,0.44,25%,0.69,14%,0.76,0.88,0.29,0.69,0.26,0,4.59,1.67,83%,0.88,0,0.44,4.46,63%,2.8,0.54,8.68,10.64,12.21,2.8,13.0km,3.09,11.43,-,-,-,-,-,-,-
65025688,Mosa Lebusa,33,70 kg,183 cm,,-,RSA,DStv Premiership,SuperSport Utd,"€127,000 p/a",-,30/6/2026,D (LC),-,18,"1,571",82%,0.06,0.07,3.55,0.69,0.23,15%,0.23,33%,1.41,0.23,0.11,0.06,0.03,0,1.2,2.06,78%,2.18,0.23,0.46,5.16,59%,3.04,0.69,10.31,9.4,10.6,0.57,11.8km,1.66,4.87,-,-,-,-,-,-,-
65039447,Khuliso Mudau,30,74 kg,181 cm,,-,RSA,DStv Premiership,Sundowns,"€480,000 p/a",-,30/6/2027,D/WB/M/AM (R),AM (R),22,"1,930",85%,0.37,0.23,6.53,1.35,0.65,20%,0.89,8%,-0.74,0.14,0.05,0.19,0.08,0,4.97,1.68,84%,1.4,0,0.19,3.87,51%,1.96,0.61,9.42,11.7,15.3,2.33,12.9km,2.66,9,-,-,-,-,-,-,-
65032160,Rushine De Reuck,30,79 kg,183 cm,,-,RSA,DStv Premiership,Sundowns,"€192,000 p/a",-,30/6/2027,D (RC),D (R),31,"2,640",89%,-,0.01,5.86,0.34,0.07,25%,0.1,8%,0.25,0.24,0.03,0,0.03,1,0.4,1.43,79%,1.5,0.44,0.82,6.41,73%,4.67,0.65,14.45,6.24,4.7,0.27,11.2km,1.53,4.53,-,-,-,-,-,-,-
65030476,Tshegofatso Mabasa,29,73 kg,179 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€327,000 p/a",-,30/6/2028,"AM (C), ST (C)",-,27,"2,195",89%,0.16,0.22,2.54,1.68,0.57,18%,0.16,13%,-2.46,1.27,0.33,1.03,0.4,0,5.34,0.9,79%,0.21,0.08,0,6.93,14%,0.98,0.12,3.28,7.3,5.99,1.11,12.5km,2.01,6.56,-,-,-,-,-,-,-
65036406,Siphelele Mkhulise,30,71 kg,179 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€142,000 p/a",-,30/6/2026,"M (C), AM (R)",AM (R),21,"1,860",89%,0.24,0.22,5.27,2.27,0.68,29%,0.34,12%,-1.95,1.4,0.29,1.6,0.15,0,4.48,1.94,85%,0.39,0.1,0,2.03,50%,1.02,0.15,5.9,10.11,6.53,1.98,12.6km,3.1,10.74,-,-,-,-,-,-,-
65026117,Innocent Maela,33,76 kg,183 cm,,-,RSA,DStv Premiership,Sundowns,"€60,500 p/a",-,30/6/2026,D (LC),-,16,"1,737",90%,0.1,0.06,7.93,0.47,0.16,27%,0.1,20%,-0.17,0.1,0.05,0.05,0.02,0,1.17,1.35,76%,1.19,0.21,0.67,5.75,64%,3.68,0.83,13.47,5.65,7.98,0.05,11.9km,1.66,3.94,-,-,-,-,-,-,-
65030798,Reeve Frosler,28,71 kg,173 cm,,-,RSA,DStv Premiership,Sundowns,"€343,000 p/a",-,30/6/2026,"D (RL), WB/M (R)","D (L), M (R)",9,737,87%,0.24,0.1,6.35,1.22,0.61,20%,1.1,-,-0.4,0.12,-,0.37,0.05,0,0.83,1.71,82%,0.49,0.12,0.61,4.4,58%,2.56,0.37,10.5,10.87,21.86,1.22,13.6km,1.83,6.96,-,-,-,-,-,-,-
14148976,Junior Mendieta,32,61 kg,170 cm,,-,ARG,DStv Premiership,Sundowns,"€185,000 p/a",-,30/6/2026,"AM (RLC), ST (C)",AM (LC),9,"1,262",84%,0.14,0.15,2.28,1.43,0.57,16%,0.43,40%,7.59,1.71,1.21,1.07,0.67,0,2.1,1.21,74%,0.36,0.07,0,6.85,20%,1.35,0.14,4.64,9.34,5.71,1.43,12.3km,1.78,6.28,-,-,-,-,-,-,-
65030478,Thapelo Morena,32,69 kg,170 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€261,000 p/a",-,30/6/2026,D/WB/M/AM (R),M (R),4,902,83%,0.3,0.33,6.29,2.49,0.8,15%,2,8%,-0.08,0.6,0.1,1,0.11,0,3.29,1.4,70%,1.5,0.2,0.1,3.59,42%,1.5,0.8,11.47,16.06,17.56,4.29,14.4km,1.8,8.08,-,-,-,-,-,-,-
65040565,Neo Maema,30,75 kg,179 cm,,-,RSA,DStv Premiership,Sundowns,"€205,000 p/a",€90K,30/6/2026,"M (L), AM (LC)",-,12,"1,288",83%,0.35,0.19,4.47,1.89,0.49,23%,0.49,28%,4.35,1.19,0.56,0.98,0.2,0,2.72,2.03,85%,0.42,0.07,0.07,3.84,25%,0.98,0.63,6.99,11.25,14.18,2.45,13.4km,3.91,14.25,-,-,-,-,-,-,-
65037417,Oswin Appollis,24,65 kg,171 cm,,-,RSA,DStv Premiership,Polokwane City,"€106,000 p/a",-,30/6/2026,"M (RL), AM (RLC)","M (RL), AM (R)",14,"1,290",70%,0.28,0.2,2.65,1.4,0.56,13%,0.42,14%,0.18,1.19,0.28,1.05,0.15,1,2.92,0.7,83%,0.35,0,0.07,6.49,19%,1.26,0.21,6.28,17.37,9.91,4.26,13.1km,2.09,9.77,-,-,-,-,-,-,-
65025016,Abbubaker Mobara,32,65 kg,179 cm,,-,RSA,DStv Premiership,AmaZulu,"€165,000 p/a",-,30/6/2028,"D (RC), WB (R), DM, M (C)","WB (R), M (C)",21,"1,679",89%,-,0.08,5.47,0.7,0.38,17%,0.59,10%,-0.11,0.27,0.11,0.8,0.11,0,1.57,1.45,84%,0.96,0.16,1.07,6.65,69%,4.56,0.54,14.63,9.22,11.52,0.54,12.7km,2.25,7.24,-,-,-,-,-,-,-
65036460,Ashley Du Preez,28,67 kg,176 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€162,000 p/a",-,30/6/2026,"AM (RLC), ST (C)",AM (R),17,"1,405",86%,0.38,0.32,5,2.18,1.09,25%,0.96,10%,-0.24,0.7,0.19,1.09,0.21,0,4.94,2.11,92%,0.58,0,0.13,4.48,31%,1.41,0.38,5.77,12.56,9.42,4.16,12.9km,2.75,10.06,-,-,-,-,-,-,-
65038281,Nkosinathi Sibisi,30,64 kg,172 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€184,000 p/a",-,30/6/2028,"D (RC), DM","D (R), DM",27,"2,108",92%,-,0.08,5.38,0.34,0.17,14%,0.04,9%,0.01,0.09,0.04,0.04,0.04,0,1.76,1.37,89%,1.67,0.17,0.56,5.93,71%,4.23,0.47,14.6,5.46,6.7,0.34,11.4km,1.2,4.01,-,-,-,-,-,-,-
13173883,Lawrence Mulenga,27,81 kg,186 cm,,-,ZAM,DStv Premiership,AmaZulu,"€63,500 p/a",-,30/6/2027,GK,-,12,"1,110",53%,0.08,0.04,1.3,0.08,0.08,-,-,-,-0.22,0,-,-,0.02,1,0.46,-,-,8.76,0,0,-,-,-,-,5.11,12.16,0.16,-,6.6km,0,0,6,17,11,0.57,0.81,88%,79%
65032746,Siphesihle Ndlovu,29,64 kg,170 cm,,-,RSA,DStv Premiership,SuperSport Utd,"€209,000 p/a",-,30/6/2027,"M (L), AM (RLC)",AM (RC),22,"1,664",84%,0.27,0.37,2.6,2.06,0.87,18%,1.35,11%,-0.16,0.65,0.16,0.87,0.17,0,6.76,2.7,82%,0.54,0,0,4.6,25%,1.14,0.38,7.25,13.63,15.2,3.84,13.2km,2.76,10.76,-,-,-,-,-,-,-
65039718,Goodman Mosele,26,69 kg,176 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€243,000 p/a",-,30/6/2027,"DM, M (C)",-,22,"1,876",90%,0.1,0.19,8.64,1.92,0.48,27%,0.34,6%,-0.08,0.48,0.1,1.25,0.1,0,4.05,1.1,72%,0.77,0,0.14,3.12,43%,1.34,0.43,8.92,7.72,5.47,1.2,12.7km,2.25,9.26,-,-,-,-,-,-,-
65045975,Evidence Makgopa,25,78 kg,188 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€245,000 p/a",-,30/6/2026,ST (C),-,21,"2,021",86%,0.09,0.16,0.98,1.07,0.58,19%,0.18,12%,-0.74,2,0.53,1.02,0.57,0,3.61,0.76,59%,0.27,0.04,0.22,10.64,62%,6.64,0.22,3.83,8.95,5.39,1.34,11.9km,1.43,6.15,-,-,-,-,-,-,-
65027036,Brandon Petersen,31,79 kg,185 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€168,000 p/a",-,30/6/2028,GK,-,26,"2,400",63%,-,0.01,0.6,0.04,0.04,-,-,-,0,-,-,-,0,0,0.28,0,0%,6.67,0,0,-,-,-,-,5.36,9.34,0.07,-,4.3km,0,0,11,22,32,-0.1,1.09,83%,73%
65030425,Mothobi Mvala,31,77 kg,182 cm,,-,RSA,DStv Premiership,Sekhukhune Utd,"€148,000 p/a",-,30/6/2026,"D (C), DM, M (C)",M (C),24,"2,124",78%,-,0.06,3.43,0.25,0.13,0%,0,14%,0.22,0.34,0.13,0.17,0.05,0,1.53,1.95,72%,1.82,0.47,0.72,8.39,73%,6.14,0.89,14.79,9.32,4.62,0.08,11.0km,1.74,6.31,-,-,-,-,-,-,-
65043636,Rushwin Dortley,23,86 kg,192 cm,,-,RSA,DStv Premiership,Stellenbosch FC,"€152,000 p/a",-,30/6/2027,D (LC),D (L),25,"2,157",94%,-,0.02,6.72,0.17,-,-,0,15%,1.13,0.21,0.08,0.08,0.04,0,0.52,1.59,79%,1.5,0.46,1.59,8.51,79%,6.72,0.63,12.68,5.22,3.76,0.04,11.1km,1.04,3.59,-,-,-,-,-,-,-
2000034559,Ethan Brooks,24,63 kg,175 cm,,-,RSA,DStv Premiership,AmaZulu,"€148,000 p/a",-,30/6/2028,"DM, M (C)",-,22,"1,946",87%,0.18,0.21,6.57,2.17,0.92,15%,0.32,9%,0.3,0.83,0.18,1.43,0.17,0,4.56,1.99,72%,0.6,0,0.09,3.79,29%,1.11,0.28,8.42,9.71,15.77,2.59,14.0km,3.65,13.23,-,-,-,-,-,-,-
65030821,Grant Margeman,27,68 kg,167 cm,,-,RSA,DStv Premiership,SuperSport Utd,"€186,000 p/a",-,30/6/2028,"DM, M/AM (C)",-,11,934,87%,0.29,0.21,3.95,1.35,0.77,5%,0.1,6%,-1.96,0.58,0.1,1.06,0.29,0,2.13,2.6,71%,1.25,0.1,0,4.53,32%,1.45,0.19,8.48,10.41,12.82,2.22,14.0km,2.79,12.14,-,-,-,-,-,-,-
13137140,Richard Ofori,32,80 kg,191 cm,,-,GHA,DStv Premiership,Orlando Pirates,"€263,000 p/a",-,30/6/2028,GK,-,26,"2,340",60%,-,0.01,0.88,0.04,0.04,-,-,-,-0.11,0,-,-,0,1,0.29,0.04,33%,7.62,0,0,-,-,-,-,6.27,9.27,0.12,-,4.8km,0,0,9,32,35,0.32,0.85,82%,81%
13210149,Ghampani Lungu,27,80 kg,183 cm,,-,ZAM,DStv Premiership,SuperSport Utd,"€234,000 p/a",-,30/6/2028,"AM (LC), ST (C)",AM (C),15,"1,307",83%,0.14,0.13,2.75,0.76,0.34,5%,0.14,26%,2.34,0.83,0.55,0.55,0.39,0,1.91,1.38,77%,0.28,0,0,9.02,31%,2.82,0.55,5.72,9.16,7.09,2,12.3km,3.24,9.23,-,-,-,-,-,-,-
65038813,Terrence Mashego,29,71 kg,172 cm,,-,RSA,DStv Premiership,Sundowns,"€160,000 p/a",-,30/6/2027,D/WB (L),WB (L),30,"2,596",90%,0.03,0.05,6.69,0.66,0.03,7%,0.1,9%,0.18,0.14,0.03,0.24,0.03,0,1.38,1.94,67%,1.32,0.14,0.17,3.64,42%,1.53,0.76,12.76,8.94,13.35,1.25,12.7km,2.6,7.04,-,-,-,-,-,-,-
13137118,Gabadhino Mhango,33,74 kg,162 cm,,-,MWI,DStv Premiership,AmaZulu,"€110,000 p/a",-,30/6/2026,ST (C),-,7,"1,058",88%,0.17,0.27,0.68,0.85,0.68,14%,0.17,33%,3.47,1.96,1.02,0.94,0.73,0,3.12,1.02,92%,0.51,0,0,11.91,24%,2.81,-,3.23,10.04,5.78,1.02,12.6km,1.87,7.23,-,-,-,-,-,-,-
65027049,Bongani Zungu,33,79 kg,184 cm,,-,RSA,DStv Premiership,Sundowns,"€121,000 p/a",-,30/6/2027,"DM, M (C)",DM,6,719,90%,0.13,0.27,5.13,1.13,0.38,10%,0.13,25%,0.24,0.75,0.38,0.75,0.15,0,2.14,1.38,79%,0.38,0,0.25,2.75,68%,1.88,0.25,14.14,8.76,7.01,0.5,12.1km,2.25,8.64,-,-,-,-,-,-,-
65030536,Tercious Malepe,29,73 kg,183 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€126,000 p/a",-,30/6/2026,"D (LC), WB (L), DM, M (C)","D (C), WB (L), M (C)",28,"2,388",90%,0.04,0.06,6.75,0.94,0.11,7%,0.08,-,-2.23,0.34,-,0.98,0.08,0,1.47,2.22,79%,1.21,0.08,0.15,3.09,66%,2.04,0.3,8.56,6.93,9.57,0.72,13.1km,1.7,7.61,-,-,-,-,-,-,-
65045638,Jayden Adams,24,70 kg,180 cm,,-,RSA,DStv Premiership,Stellenbosch FC,"€174,000 p/a",-,30/6/2028,M/AM (C),-,28,"2,335",92%,0.23,0.18,7.98,1.04,0.42,27%,0.12,4%,-2.05,0.31,0.04,0.73,0.12,0,4.61,2.39,71%,1.31,0.08,0.5,2.85,43%,1.23,0.58,8.02,7.75,6.55,0.77,12.3km,3.24,12.18,-,-,-,-,-,-,-
65008629,Siyanda Xulu,34,74 kg,188 cm,,-,RSA,DStv Premiership,Swallows,"€38,500 p/a",-,30/6/2026,D (C),-,19,"1,619",85%,-,0.03,3.39,0.06,0.06,0%,0,-,-0.69,0.06,-,0,0.04,1,0.48,1.06,83%,1.67,0.44,1.22,7,80%,5.61,0.95,12.45,7.84,3.84,-,11.0km,1.28,4.39,-,-,-,-,-,-,-
65042597,Melusi Buthelezi,28,80 kg,193 cm,,-,RSA,DStv Premiership,SuperSport Utd,"€196,000 p/a",-,30/6/2027,GK,-,24,"2,160",32%,0.04,0.01,0.92,0.04,-,-,-,-,0,-,-,-,0,0,0.24,0,0%,7.38,0,0,-,-,-,-,6.79,16.71,0.08,-,4.2km,0,0,11,43,35,0.31,0.88,87%,86%
65030108,Thembinkosi Lorch,32,64 kg,170 cm,,-,RSA,DStv Premiership,Cape Town City,"€121,000 p/a",-,30/6/2027,"M (RL), AM (RLC), ST (C)","M (R), AM (C), ST (C)",13,"1,161",80%,0.47,0.3,3.88,1.71,0.85,18%,0.85,27%,1.59,0.47,0.31,0.54,0.13,0,3.88,2.33,81%,0.39,0.08,0,5.89,21%,1.24,0.31,9.22,13.41,16.67,1.78,13.6km,3.57,11.16,-,-,-,-,-,-,-
65030673,Thabo Nodada,30,56 kg,163 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€215,000 p/a",-,30/6/2028,M/AM (RC),M/AM (R),24,"2,140",87%,0.21,0.23,5.85,1.98,0.67,26%,0.29,7%,-0.45,0.42,0.08,0.93,0.07,1,5.43,1.89,83%,0.97,0,0,3.28,37%,1.22,0.29,8.29,8.66,9,1.01,13.1km,3.15,13.5,-,-,-,-,-,-,-
13201802,Riaan Hanamub,31,68 kg,170 cm,,-,NAM,DStv Premiership,AmaZulu,"€137,000 p/a",-,30/6/2028,D/WB (L),-,20,"1,730",87%,0.31,0.24,8.53,1.51,0.47,19%,0.88,8%,0.17,0.31,0.05,0.68,0.04,0,4.63,1.61,86%,1.2,0.21,0.21,4.32,67%,2.91,1.2,14.67,11.13,14.77,0.88,13.5km,2.5,9.16,-,-,-,-,-,-,-
13162744,Taddeo Lwanga,31,75 kg,184 cm,,-,UGA,DStv Premiership,Chippa Utd,"€95,500 p/a",-,30/6/2026,"DM, M (C)",M (C),23,"1,800",91%,0.25,0.13,6,1.1,0.3,20%,0.05,13%,-0.93,0.4,0.1,0.25,0.07,0,2.68,1.85,69%,0.6,0.15,1.05,4.85,63%,3.05,0.6,8.7,9.15,6.85,0.45,12.7km,2.2,8.2,-,-,-,-,-,-,-
13165676,Richard Kassaga,32,84 kg,188 cm,,Tight hamstring,UGA,DStv Premiership,Kaizer Chiefs,"€150,000 p/a",-,30/6/2027,D (C),-,22,"1,989",94%,-,0.02,7.78,0.23,0.05,-,0,20%,0.92,0.18,0.09,0.09,0.01,0,0.46,1.13,76%,0.95,0.23,0.32,5.07,73%,3.71,0.32,11.49,4.8,3.39,0.14,10.9km,0.81,3.08,-,-,-,-,-,-,-
65042449,Zakhele Lepasa,28,76 kg,179 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€131,000 p/a",-,30/6/2026,ST (C),-,17,"1,628",88%,0.28,0.12,1.33,0.94,0.39,7%,0.06,16%,3.37,1.93,0.66,1.11,0.48,0,2.22,1.44,87%,0.33,0,0.11,10.67,46%,4.92,0.11,4.37,8.24,5.14,1.22,12.4km,1.71,6.14,-,-,-,-,-,-,-
65032694,Lebohang Maboe,31,67 kg,172 cm,,-,RSA,DStv Premiership,AmaZulu,"€190,000 p/a",-,30/6/2027,"M (C), AM (LC), ST (C)","M (C), AM (L), ST (C)",26,"2,211",84%,0.45,0.29,2.69,1.63,0.69,16%,0.37,23%,2.19,1.47,0.57,1.06,0.45,0,7.18,0.77,73%,0.49,0,0.04,6.07,30%,1.79,0.2,5.66,11.72,10.3,2.08,13.5km,1.83,8.55,-,-,-,-,-,-,-
2000112833,Kibu Denis,27,72 kg,179 cm,,-,TAN,DStv Premiership,SuperSport Utd,"€221,000 p/a",-,30/6/2026,"AM (LC), ST (C)",AM (C),20,"1,761",84%,0.1,0.06,0.56,0.61,0.15,13%,0.05,17%,0.68,1.02,0.41,0.66,0.37,0,1.08,0.56,79%,0.2,0,0.1,11.14,24%,2.66,0.05,2.66,5.32,5.67,0.56,11.7km,0.97,3.83,-,-,-,-,-,-,-
2000103624,Noureddine Al Gleib,24,61 kg,165 cm,,-,LBY,DStv Premiership,Orlando Pirates,"€210,000 p/a",-,30/6/2027,M/AM (C),-,24,"1,912",89%,0.14,0.15,7.3,1.88,0.52,45%,0.47,14%,0.57,0.38,0.14,0.8,0.11,0,3.1,1.65,90%,0.42,0,0.09,2.68,16%,0.42,0.42,6.97,8.19,5.04,1.27,12.4km,2.87,11.25,-,-,-,-,-,-,-
65026046,Taariq Fielies,33,85 kg,190 cm,,-,RSA,DStv Premiership,AmaZulu,"€121,000 p/a",-,30/6/2026,D (C),-,25,"2,231",88%,0.08,0.03,6.37,0.28,0.04,-,0,22%,0.49,0.4,0.2,0.12,0.05,2,0.83,1.45,84%,1.73,0.28,1.37,11.09,64%,7.1,0.52,15.29,5.89,6.58,0.08,11.5km,1.29,4.32,-,-,-,-,-,-,-
65032663,Nkanyiso Zungu,30,73 kg,180 cm,,-,RSA,DStv Premiership,Stellenbosch FC,"€209,000 p/a",-,30/6/2026,"DM, M (C)",DM,26,"2,177",89%,0.25,0.26,7.36,1.57,0.66,20%,0.17,4%,-2.27,0.5,0.04,0.62,0.14,0,6.18,1.9,77%,0.7,0.08,0.41,3.1,43%,1.32,0.66,7.44,8.85,6.7,1.41,12.6km,2.56,9.38,-,-,-,-,-,-,-
13167158,Divine Lunga,30,72 kg,179 cm,,-,ZIM,DStv Premiership,Orlando Pirates,"€197,000 p/a",-,30/6/2028,D (L),-,21,"1,717",88%,0.1,0.15,7.13,1.47,0.42,19%,1.1,-,-0.23,0.05,-,0.21,0.01,0,2.84,2.62,88%,1.36,0.16,0.26,3.15,37%,1.15,0.73,12.16,10.38,14,1.05,13.1km,1.83,8.91,-,-,-,-,-,-,-
13232344,Mouad Issa,26,78 kg,188 cm,,-,LBY,DStv Premiership,Sundowns,"€498,000 p/a",€33.5K,30/6/2026,"AM (RL), ST (C)",AM (R),29,"2,268",87%,0.12,0.16,1.71,1.27,0.44,29%,0.16,15%,0.29,0.99,0.32,0.63,0.31,0,4.01,0.71,82%,0.48,0.08,0.16,8.29,43%,3.53,0.2,2.94,8.65,5.95,0.95,12.2km,1.9,6.87,-,-,-,-,-,-,-
2000082493,Abubeker Nasir,26,76 kg,182 cm,,-,ETH,DStv Premiership,Sundowns,"€173,000 p/a",-,30/6/2027,"AM (RL), ST (C)",AM (R),19,"1,837",88%,0.15,0.14,1.27,0.88,0.49,19%,0.24,15%,1.84,1.32,0.39,0.93,0.3,0,2.92,0.78,76%,0.49,0,0.05,8.57,34%,2.89,0.24,4.26,9.55,5.59,1.47,12.1km,1.62,6.81,-,-,-,-,-,-,-
65033383,Craig Martin,32,66 kg,180 cm,,Pulled knee ligaments,RSA,DStv Premiership,Chippa Utd,"€122,000 p/a",-,30/6/2027,WB/M/AM (R),WB/M (R),17,"1,385",89%,0.13,0.16,4.61,1.17,0.52,9%,0.71,29%,3.03,1.1,0.39,0.32,0.19,1,2.4,2.79,83%,1.56,0,0,3.44,38%,1.3,0.45,5.07,14.69,10.01,5.98,13.2km,2.66,10.14,-,-,-,-,-,-,-
65026884,Tapelo Xoki,30,80 kg,184 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€227,000 p/a",-,30/6/2026,D (C),-,28,"2,462",91%,0.11,0.06,6.51,0.15,0.04,32%,0,19%,1.07,0.55,0.18,0.62,0.06,0,1.58,0.77,75%,1.61,0.33,0.69,6.21,57%,3.55,0.26,12.98,5.08,4.42,0.04,11.3km,0.88,2.23,-,-,-,-,-,-,-
49052434,Lucas Ribeiro,27,67 kg,181 cm,,-,BRA,DStv Premiership,Sundowns,"€104,000 p/a",-,30/6/2026,"M (C), AM (RC)",AM (R),11,"1,157",84%,0.08,0.24,7.23,1.4,0.93,16%,0.23,14%,0.72,0.54,0.16,0.93,0.1,0,3.07,2.26,81%,0.86,0,0.47,3.89,58%,2.26,0.16,11.12,14.08,11.05,1.79,13.8km,3.42,14.78,-,-,-,-,-,-,-
65028614,Veli Mothwa,35,73 kg,180 cm,,-,RSA,DStv Premiership,AmaZulu,"€85,000 p/a",-,30/6/2026,GK,-,15,"1,350",41%,-,0.07,1.07,0,0.07,-,-,-,0,-,-,-,0,2,0.98,0,0%,9,0,0,-,-,-,-,4.07,12.47,0.13,-,5.5km,0,0,8,17,15,0,1.47,82%,65%
65043251,Keenan Phillips,26,69 kg,177 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€118,000 p/a",-,30/6/2026,D/WB/M (R),M (R),31,"2,283",84%,0.39,0.29,4.14,2.56,0.83,17%,1.73,5%,-1.07,0.2,0.04,0.51,0.08,0,7.46,2.68,83%,1.3,0.28,0.16,4.85,40%,1.93,0.51,11.31,15.02,21.25,2.37,13.5km,1.97,8.63,-,-,-,-,-,-,-
65024990,Keagan Dolly,33,67 kg,170 cm,,-,RSA,DStv Premiership,Kaizer Chiefs,"€527,000 p/a",-,30/6/2026,"M (LC), AM (RLC)","M (LC), AM (RC)",6,658,88%,0.41,0.24,3.83,0.96,0.41,39%,0.27,15%,1.05,0.55,0.27,1.37,0.13,0,1.76,1.64,71%,0.41,0,0,2.19,38%,0.82,0.14,5.33,10.26,13.68,1.23,13.4km,3.01,12.31,-,-,-,-,-,-,-
