name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,chancesCreated,npXG,badges,ratingScores
Rafael Camacho,2000303373,37.64,64.18,25.61,42.77,8.4,51.21,49.77,31.67,,{}
Søren Kristoffersen,2002144224,3.54,97.95,9.38,81.2,6.58,6.81,4.34,5.83,,{}
Marco Lodi,2002162531,55.46,69.96,33.49,25.79,27.61,62.73,77.61,85.96,,{}
Anderson,2002152735,5.83,82.93,70.94,84.33,87.69,10.73,14.23,10.91,,{}
Yaël Thébault,2000289509,26.77,64.18,79.8,75.09,57.23,5.32,12.27,2.05,,{}
Daniel Mancinelli,2002074074,94.64,92.63,84,35.63,78.64,98.18,97.76,52.52,destroyer,{"destroyer":90}
Aiman Souiri,29233083,4.24,96.22,4.9,69.17,3.92,9.84,10.35,37.64,,{}
Mamédio Salvadore,2002131990,81.62,8.96,43.75,36.33,31.48,32.04,41.93,37.64,,{}
Maarten Swerts,18115754,7.14,57.65,16.65,74.39,17.86,26.12,21.83,16.98,,{}
José Fernández,2002105343,51.73,64.18,19.78,22.39,11.66,34.42,48.69,63.39,,{}
Horacio Martínez,2002127267,54.43,75.09,59.56,58.26,98.83,83.77,41.93,5.83,,{}
Ruan Oliveira,19363634,3.87,79.29,3.59,39.97,3.68,11.75,10.35,81.95,,{}
Kevin Schlosser,2002073411,81.95,50.7,76.17,73.23,26.4,19.64,25.47,24.21,,{}
Enzo Keutgen,2000261998,60.17,38.15,68.7,58.72,71.18,46.27,28.54,37.64,,{}
Alejandro Villalba,2000049727,10.12,98.32,36.1,80.83,78.36,16.84,14.23,10.91,,{}
Marcos Abraham,2002136252,39.55,57.65,59.75,72.71,80.83,38.43,38.53,24.21,,{}
Amund Midtgård,2002153556,17.77,44.22,85.54,63.85,32.37,12.36,16.84,5.83,,{}
Alessio Trimboli,2002102834,20.29,88.81,87.08,80.36,30.5,15.53,20.66,37.64,,{}
Leonel Pérez,2000194811,40.11,15.95,22.25,31.95,32.14,67.86,67.58,76.73,,{}
Haroldo Bran,2002074557,89.55,64.18,79.8,34.75,79.38,61.33,73.74,47.9,,{}
Luis Sequeira,14223037,4.52,88.81,4.34,24.16,3.59,13.11,32.7,98.79,,{}
Ahmet Kan,2002143928,19.59,44.22,83.72,77.57,47.62,17.44,16.84,24.21,,{}
Youssif Dikeni,2000297453,19.4,3.96,90.76,87.36,57.23,19.03,25.47,47.9,,{}
José Carlos,2002143052,30.97,5.27,12.55,21.18,9,44.03,31.06,63.39,,{}
Sebastian Lodberg,2000303067,1.49,38.15,1.4,52.99,1.45,1.63,4.34,88.48,,{}
Raúl Páez,2002146641,62.22,64.18,39.46,62.92,38.53,85.63,76.73,31.67,,{}
Nicolás Aguilera,2002104971,64.88,64.18,10.82,32.32,48.13,74.11,46.74,81.95,,{}
Mark Verkuijl,2000179625,36.94,32.84,43,65.02,60.35,33.07,29.76,5.83,,{}
Olufemi Offor,2002125112,13.43,50.7,54.71,56.48,16.65,4.85,4.34,2.05,,{}
Jorge Alberto,2002120507,8.58,69.96,90.9,90.53,85.31,19.03,4.34,5.83,,{}
Román Suárez,2002074584,18.94,23.27,93.89,97.43,56.95,15.02,4.34,24.21,,{}
Emanuel Silva,2002075326,18.8,12.27,56.2,81.02,42.44,22.99,10.35,2.05,,{}
Paulo,2002143181,59.33,1.35,13.67,45.85,49.39,48.41,41.93,31.67,,{}
Juan Carlos Lemos,2002146951,55.92,75.09,31.58,26.91,99.58,82.46,51.68,52.52,,{}
Nassim El Harmouz,2000275045,95.15,12.27,28.96,35.96,46.92,46.92,37.27,31.67,,{}
Iván García,2002127366,15.3,28.17,99.49,99.3,46.04,4.38,4.34,31.67,,{}
Lars Andersen,2000033222,8.02,79.29,4.48,50.98,4.43,5.32,4.34,42.77,,{}
Jordan Atangana,2002123713,87.97,50.7,26.63,22.06,12.69,53.31,38.53,56.67,,{}
Konstantin Malakhov,2002073113,60.17,32.84,33.02,62.45,76.59,20.15,18.75,42.77,,{}
Joaquín Bustos,2002127400,22.29,8.96,78.82,89.79,70.38,11.33,14.23,5.83,,{}
Patati,19407328,44.36,57.65,13.29,0.61,21.78,79.9,90.63,96.46,advanced playmaker,{"advanced playmaker":89}
Clement Papin,2002099915,58.49,88.81,44.92,60.49,39.04,32.04,53.03,42.77,,{}
Juniel Martha,2002154562,81.02,7,25.42,5.55,18.52,80.5,96.08,56.67,,{}
Lars Mølgaard,2002172125,3.31,98.32,3.92,64.23,3.4,3.5,4.34,37.64,,{}
Karim Hiti,2002072870,96.32,44.22,86.52,79.52,29.24,57.14,57.65,47.9,,{}
Kevin Zeroli,2000103118,33.63,75.09,45.94,47.15,11.99,29.48,54.76,52.52,,{}
Guillermo Pisani,2002128505,27.05,28.17,30.64,30.92,25.51,87.97,87.59,94.45,advanced playmaker,{"advanced playmaker":90}
Pedro Sousa,2002124019,14.69,75.09,57.09,79.99,51.07,7.88,19.73,2.05,,{}
Sérgio Meireles,2000127325,43.84,23.27,53.87,67.68,45.24,47.67,62.78,47.9,,{}
Gastón Lezcano,2002146678,86.99,95.34,36.52,39.51,54.1,80.5,66.14,31.67,,{}
Albert Lodberg,2000303025,6.2,95.34,8.35,59.19,7.98,7.88,25.47,5.83,,{}
Estêvão Brunheta,2002075432,44.36,69.96,87.5,77.71,41.7,29.94,37.27,2.05,,{}
Sulaiman Eze,2002099468,16.37,57.65,88.53,92.49,51.35,4.85,4.34,2.05,,{}
Amidou Doumbouya,2000290350,51.73,88.81,71.64,75.98,57.23,7.88,4.34,10.91,,{}
Cristian,2002120008,40.63,1.73,70.34,42.58,56.39,36.01,28.54,5.83,,{}
Frankie Sanders,2002123389,1.49,0.05,1.4,52.99,1.45,1.63,4.34,97.34,,{}
Mathis Fosté,2000307797,3.13,86.05,3.13,47.81,3.13,3.82,14.23,84.19,,{}
João,2002170898,69.31,88.81,67.72,68.14,99.49,90.95,20.66,24.21,,{}
Juan Alegre,2002136214,54.43,57.65,40.9,65.9,91.56,76.31,46.74,16.98,,{}
Djamel Abdallah,2002133465,81.02,18.98,45.2,48.09,38.53,55.97,44.12,24.21,,{}
Gerónimo Acevedo,2002156390,48.27,23.27,79.62,84.93,77.01,20.15,16.84,31.67,,{}
Pierre,2002162416,38.85,86.05,39.46,40.35,57.23,83.3,82.09,76.73,advanced playmaker,{"advanced playmaker":81}
Leonel Orellana,2002156413,28.73,18.98,75.7,69.82,80.83,60.45,54.76,5.83,,{}
Wencho Robertha,2002134493,70.71,57.65,43.14,23.65,28.92,45.76,69.82,81.95,,{}
Lucas,2002170894,7.42,96.22,78.08,89.13,99.67,4.85,4.34,10.91,,{}
Adrián Filippo,2002156493,28.5,8.96,23.65,31.11,87.45,68.8,70.66,52.52,,{}
Rodrigo Cabrera,2000114774,9.42,2.71,82.18,88.95,73.23,15.02,23.46,24.21,,{}
Gérson Costa,2002121310,42.72,23.27,62.17,81.48,65.07,41.42,48.69,16.98,,{}
Franck Lenoir-Ferre,2002073386,66.7,15.95,25.61,43.61,31.76,33.77,60.4,16.98,,{}
Justin von der Hitz,2000180865,37.41,75.09,73.97,32.04,39.37,22.99,32.7,10.91,,{}
Diego Navarro,2002136441,99.95,88.81,53.26,24.67,98.55,59.75,51.68,69.31,,{}
Fabinho,19377986,52.99,79.29,39.88,45.29,39.65,71.92,95.24,60.21,,{}
Dadá,2002162483,16.37,2.71,6.2,18.56,7.7,38.43,31.06,91.98,,{}
Sven Janssen,2000111421,30.04,86.05,24.21,35.21,16.42,66.51,45.8,96.78,,{}
Rasmus Vestergaard,2002172129,1.49,86.05,1.4,52.99,1.45,1.63,4.34,76.73,,{}
Cris,2002161538,75.33,15.95,8.63,17.02,53.4,87.03,91.74,84.19,advanced playmaker,{"advanced playmaker":88}
Siloé Nunes Melo,2002121702,16,96.22,8.12,12.45,7.42,87.5,64.65,95.99,,{}
Alex Artaxo,2002122307,13.99,44.22,93.61,84.33,66.18,20.15,29.76,24.21,,{}
Alex Sandro,2002161050,34.1,88.81,80.97,75.89,78.17,40.16,44.12,2.05,,{}
Nico Laney,2002144118,1.49,32.84,1.4,52.99,1.45,1.63,4.34,91.42,,{}
Luís Fernando,2002120914,6.76,82.93,57.42,72.06,30.88,16.42,16.84,16.98,,{}
Julián Ferrer,2002104941,27.8,2.71,52.99,59.05,62.64,57.74,37.27,16.98,,{}
Alexander Heredia,2002105032,36.94,79.29,81.3,86.94,77.52,4.38,4.34,0.37,,{}
João Henrique,2002170983,30.18,32.84,8.35,19.5,51.45,81.76,83.77,91.98,advanced playmaker,{"advanced playmaker":86}
Enzo Hoogveld,2002162984,56.81,82.93,46.74,49.58,79.38,76.31,66.14,24.21,,{}
Uesley Gaúcho,19382947,32.28,50.7,36.24,50.42,89.32,95.94,84.65,42.77,,{}
Mohammad Ahmadi,2002135443,51.73,38.15,20.76,24.95,8.4,53.31,83.77,52.52,,{}
Dininho,2002142749,30.04,88.81,66.93,59.7,99.11,37.08,54.76,2.05,,{}
Mamaye Traoré,2002145276,38.48,79.29,76.96,68.89,35.96,22.01,19.73,24.21,,{}
Pietro Meloni,2002172452,36.94,38.15,47.39,44.26,54.52,65.21,69.82,37.64,,{}
Cabir Türkmen,2002161982,72.43,7,9.47,14.32,12.08,65.81,66.14,79.52,,{}
Akwasi Owusu,2000133283,6.11,3.96,3.5,31.58,4.15,15.02,14.23,81.95,,{}
Nicolas Verkooijen,2000257578,3.96,82.93,3.92,36.15,5.22,25.56,20.66,79.52,,{}
Simone Petriccione,2002172445,89.18,50.7,61.47,52.99,41.37,63.25,59.19,71.83,,{}
Nicolás Correa,2002156298,36.01,88.81,83.07,95.01,40.16,15.02,4.34,5.83,,{}
Renato,2002120790,39.18,12.27,12.55,21.88,8.82,45.76,38.53,66.51,,{}
Alessandro Di Pinto,2002162277,21.5,64.18,45.94,43.38,30.04,16.84,4.34,37.64,,{}
Lucas Loureiro,2002170963,31.62,38.15,9.75,21.5,50.14,93,82.09,93.7,advanced playmaker,{"advanced playmaker":90}
Arjen Robben,2002173699,30.97,92.63,16.18,30.41,14.27,7.56,4.34,2.05,,{}
Tiago Floro,2002154667,34.1,64.18,59.24,62.27,75.23,43.47,34.61,5.83,,{}
