name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,chancesCreated,npXG,badges,ratingScores
Otacílio Cardoso,2002131895,43.42,38.15,15.11,3.5,73.74,97.53,81.06,90.25,advanced playmaker,{"advanced playmaker":90}
Anders Nøvik,2000049752,48.27,50.7,88.39,86.05,94.12,81.39,56.2,60.21,deep playmaker,{"deep playmaker":87}
Jonathan Almirón,2002074565,91.04,64.18,39.88,43.94,78.36,94.5,87.59,71.83,advanced playmaker,{"advanced playmaker":85}
Lassana Silva,2000024682,41,94.31,8.82,1.07,42.91,85.17,98.09,91.98,advanced playmaker,{"advanced playmaker":92}
Kelvin Bueres,2002120482,32.65,15.95,70.15,82.23,90.86,27.01,23.46,47.9,,{}
Alejandro Mendoza,2002074048,92.86,12.27,31.3,11.75,31.48,78.78,86.85,52.52,,{}
Nuno Correia,2000183113,47.15,79.29,96.88,80.55,55.92,15.9,25.47,5.83,,{}
Benjamín Schamine,2000126951,53.87,28.17,49.81,75.33,35.96,33.07,32.7,5.83,,{}
Shadi Guillet,2000307456,3.68,99.02,4.71,66.56,3.78,3.82,4.34,24.21,,{}
Eduardo,2002120200,7.74,99.72,99.39,99.21,81.44,14.37,4.34,42.77,,{}
Nicolás Sánchez,2000149247,69.31,38.15,36.52,55.92,67.12,81.02,67.58,63.39,,{}
Paulo Roberto,2002120945,15.63,28.17,96.13,88.76,31.76,23.65,12.27,24.21,,{}
Jannes Van Hecke,18110587,1.49,64.18,1.4,52.99,1.45,1.63,4.34,24.21,,{}
Enzo Geerts,2000109413,60.63,69.96,20.01,24.3,23.41,73.6,95.66,52.52,,{}
Gibbe Conaert,2000307801,1.49,86.05,1.4,52.99,1.45,1.63,4.34,24.21,,{}
Régis Kinsombi,2002133479,4.34,79.29,3.78,47.06,3.92,17.44,14.23,84.19,,{}
Agustín Ríos,2002156312,73.79,79.29,27.57,18.8,15.02,77.1,51.68,95.24,,{}
João Pina,2002073793,33.26,28.17,87.27,81.3,44.03,73.04,44.12,56.67,,{}
Joan Afonso,14254107,38.85,57.65,7.74,12.69,40.81,58.68,62.78,76.73,,{}
Geovane,2002121525,88.62,82.93,17.21,1.26,36.33,85.17,94.78,81.95,advanced playmaker,{"advanced playmaker":87}
Gustav Fraulo,2000140125,1.49,99.25,1.4,52.99,1.45,1.63,4.34,56.67,,{}
Lucas Bernabéu,2000200446,26.49,18.98,93.8,91.18,88.2,6.25,4.34,10.91,,{}
Rubén Ordoñez,2002072694,31.39,8.96,41.18,47.25,19.87,33.07,38.53,71.83,,{}
Calvin Twigt,37084612,54.43,1.03,64.6,55.41,45.52,35.07,34.61,66.51,,{}
Tiebe Coppin,2000270803,1.49,90.81,3.03,47.53,1.45,1.63,4.34,94.45,,{}
Bjarne Roth,2002075037,60.63,5.27,60.07,70.57,16.79,34.42,27.15,10.91,,{}
Liam Aubele,2002125610,78.78,15.95,29.38,24.58,34.93,92.16,75.09,97.95,advanced playmaker,{"advanced playmaker":88}
Yonni La Barbera,2000270838,22.81,18.98,4.62,0.51,6.39,40.72,4.34,90.25,,{}
Cristiano Almeida,2002072526,41.98,44.22,57.79,57.04,82.65,60.45,38.53,37.64,,{}
Gabriel Barès,84154302,5.08,38.15,4.06,59.93,4.62,21.18,19.73,24.21,,{}
Matteo Loreti,2002133921,1.49,96.83,1.4,52.99,1.45,1.63,4.34,88.48,,{}
Valdemar Byskov,2000140078,17.07,32.84,6.3,25.47,7.04,42.26,38.53,85.96,,{}
Marco Borba,2002073401,49.35,18.98,91.84,76.73,36.94,44.03,4.34,42.77,,{}
Brian De Keersmaecker,18110846,79.15,79.29,64.09,49.3,23.09,41.42,25.47,31.67,,{}
Lautaro Reyes,2002127307,92.58,69.96,67.44,35.07,87.69,96.97,78.03,42.77,,{}
David Arredondo,2000217267,66.23,50.7,74.21,39.88,46.04,86.66,92.77,87.13,advanced playmaker,{"advanced playmaker":89}
Giannis Gavalas,2002134254,67.91,18.98,82.56,74.3,59.89,49.07,36.24,37.64,,{}
Alejo Prado,2002146642,13.01,75.09,91.56,64.65,56.39,17.44,19.73,16.98,,{}
Romain Perret,2000126677,64.32,38.15,20.62,16.37,11.05,71.32,72.25,81.95,advanced playmaker,{"advanced playmaker":75}
Álex Alba,2000125132,17.77,50.7,70.52,67.4,34.65,15.02,14.23,10.91,,{}
Bruno Leyes,14243661,71.83,50.7,42.54,44.73,61.71,68.8,49.77,42.77,,{}
Sacha Bansé,2000046732,3.54,82.93,3.31,50.51,3.31,6.81,16.84,31.67,,{}
Ilyas Bouazzaoui,2000299242,31.39,79.29,56.81,79.62,20.71,35.59,44.12,24.21,,{}
Mario Barlocco,2000278405,98.55,75.09,20.2,6.58,41.7,77.1,90.39,71.83,advanced playmaker,{"advanced playmaker":80}
Filippo Ranocchia,43375253,36.01,44.22,44.54,60.03,14.04,38.43,56.2,31.67,,{}
Diego van Zutphen,2000111576,12.17,69.96,55.92,81.67,25.33,6.81,10.35,24.21,,{}
Floris Bos,2000226977,11.33,50.7,85.17,83.49,16.56,3.82,4.34,16.98,,{}
Stevin Pazo,2000085368,40.11,28.17,63.81,67.96,29.52,46.92,36.24,37.64,,{}
Gabriele Paolini,2002126611,99.16,23.27,49.63,6.76,35.12,54.57,77.61,63.39,,{}
Maico Quiroz,14238167,39.88,69.96,13.85,15.67,46.36,80.5,66.14,60.21,,{}
Narcís Francés,2002163170,45.24,44.22,17.07,7.74,36.71,55.27,54.76,90.25,,{}
Svenne Van Poucke,2002072643,1.49,79.29,1.4,52.99,1.45,1.63,4.34,56.67,,{}
Matthieu Guillot,2002075097,97.71,64.18,55.74,15.9,18.1,67.86,66.14,87.13,,{}
Ayman Rabhi,2000254666,15.63,57.65,8.12,26.21,5.22,24.67,4.34,92.82,,{}
Allan Delferrière,2000096301,1.49,98.65,1.4,52.99,1.45,1.63,4.34,24.21,,{}
Alfred Riverola,2002073158,29.71,2.71,58.91,71.6,54.52,32.04,41.93,24.21,,{}
Filippo Arcioni,2002075398,69.82,79.29,91.09,64.32,68.47,33.07,54.76,31.67,,{}
Edgar Fraga,2002124014,57.28,79.29,43.28,47.34,39.04,57.74,49.77,56.67,,{}
Amourricho van Axel Dongen,2000041123,97.71,64.18,58.21,10.77,11.47,78.78,94.03,66.51,,{}
Mario Lemos,2002144949,65.67,50.7,35.68,47.43,67.82,21.18,23.46,24.21,,{}
Francisco Barreiro,2000271965,79.15,96.22,34.89,4.43,49.25,85.63,98.79,79.52,advanced playmaker,{"advanced playmaker":88}
Francisco França,2000027988,83.58,38.15,62.55,70.71,42.02,42.26,34.61,31.67,,{}
Federico Monzón,2002146838,20.52,7,40.81,82.04,62.03,8.3,21.83,0.37,,{}
Duncan Elliott,2002074976,82.7,23.27,98.65,86.24,70.8,56.53,50.75,79.52,,{}
Emiliano Aguirre,2002128074,35.63,38.15,90.76,94.36,64.46,35.59,31.06,5.83,,{}
Franco Díaz,2000044409,93.19,3.96,28.87,25.05,38.25,77.89,97.39,47.9,,{}
Mauro Bruna,2002074341,9.1,0.14,6.81,12.27,4.8,31.11,38.53,99.81,,{}
Cristian Barros Schelotto,2002146846,47.67,92.63,68.7,78.78,70.06,1.63,4.34,0.37,,{}
Mattia Mannini,2000184284,74.39,64.18,76.35,82.14,36.33,71.32,32.7,69.31,,{}
Szabolcs Márton,2002075626,59.33,38.15,58.4,39.65,73.93,44.03,53.03,52.52,,{}
Brendan Healey,2002135377,68.61,18.98,59.56,61.24,93.05,76.31,62.78,42.77,,{}
Hamza Bouihrouchane,2000071872,34.56,32.84,30.32,45.57,9.93,44.03,62.78,66.51,,{}
Damián Fernández,14222102,22.01,94.31,67.44,87.27,86.01,8.3,14.23,0.37,,{}
Ahmed Mounji,2002124638,6.58,50.7,75.33,93.52,58.82,4.38,10.35,16.98,,{}
João Pereira,2000047621,60.63,38.15,63.53,59.05,20.1,31.11,23.46,31.67,,{}
Lars Jensen,2002123410,16.79,75.09,6.67,71.97,6.67,15.9,38.53,95.24,,{}
Luc Netten,2000046674,58.49,57.65,42.12,67.26,63.01,17.96,27.15,16.98,,{}
Brandon Baiye,18106029,8.21,50.7,16.84,56.9,14.79,32.04,41.93,71.83,,{}
Maurício,2002120536,67.3,82.93,41.51,69.08,59.1,64.04,38.53,63.39,,{}
Alexandre Rivière,2002073189,47.15,50.7,51.31,29.48,54.99,61.33,83.77,31.67,,{}
Stefano Stridi,2002154085,67.3,44.22,67.91,76.26,65.86,40.16,46.74,31.67,,{}
Daniel Pugliese,2000029943,75.51,57.65,51.31,9.1,47.15,94.5,88.85,71.83,advanced playmaker,{"advanced playmaker":85}
Mauro La Sala,2002127337,38.01,18.98,68.98,73.65,93.52,60.45,46.74,24.21,,{}
Gabriel Díaz,2002127607,12.55,96.83,5.83,15.81,5.36,51.91,44.12,98.32,,{}
Mamadou Faye,2002123061,24.63,57.65,89.09,85.59,78.64,25.56,23.46,37.64,,{}
Paulinho,2002132262,52.38,92.63,24.81,20.2,39.97,76.31,73.74,97.34,advanced playmaker,{"advanced playmaker":82}
Christian Jørgensen,2000150160,1.49,97.95,1.4,52.99,1.45,1.63,4.34,5.83,,{}
Fernando Ríos,2002156552,16,50.7,70.34,78.03,83.35,77.1,82.09,5.83,deep playmaker,{"deep playmaker":79}
Agustín Prokop,14220024,89.18,50.7,68.89,38.95,89.79,71.32,97.01,42.77,,{}
Kléber Bonjesus,2002152668,4.1,44.22,87.36,91.46,75.42,10.73,44.12,42.77,,{}
Matías Gómez,2000107899,63.9,44.22,14.41,17.82,7.88,64.04,78.03,76.73,,{}
Danilo Valentini,2002105243,73.23,18.98,74.21,67.02,52.66,64.74,53.03,87.13,,{}
