name,uid,tackleRating,headersWonRatio,progressivePassesPer90,badges,ratingScores
Maxime Soulas,37062674,98.34,1.07,1,,{}
Rayan Atikallah,2000223688,7.39,2.73,14.11,,{}
Ander Casado,2002103875,9.72,36.28,61.85,,{}
Luca Raffin,2000254615,84.89,94.54,23.17,aggressor,{"aggressor":90}
Joaquín Bustos,2002127400,5.59,9.39,64.11,,{}
João Silva,2002123301,72.1,39.08,16.51,,{}
Renzo Alberini,2002136289,66.78,3.06,60.52,,{}
Lars Mølgaard,2002172125,96.67,97.27,2.46,aggressor,{"aggressor":97}
Patrick Rothmann,2002104338,90.08,86.82,9.12,aggressor,{"aggressor":88}
Karim Hiti,2002072870,33.29,33.16,16.91,,{}
Samuel Pena,2002161075,18.71,30.03,90.21,spreader,{"spreader":90}
Pedro Sousa,2002124019,66.78,33.16,40.41,,{}
Francesco Scalini,2002144655,15.18,5.33,24.5,,{}
Tomás Cardoso,2002133875,91.81,21.17,4.86,,{}
Álex,2002163984,66.78,5.33,15.18,,{}
Guido Benítez,2002146890,72.1,86.82,68.51,aggressor,{"aggressor":79}
Albert Lodberg,2000303025,91.81,68.64,4.73,,{}
Pasquale Lazzarini,2002126397,33.29,72.44,9.99,,{}
Sulaiman Eze,2002099468,46.27,51.86,40.68,,{}
Amidou Doumbouya,2000290350,82.16,76.23,47.4,aggressor,{"aggressor":79}
Adam Andersen,2000150127,84.89,6.86,6.86,,{}
Sergio Gómez,2002127351,66.78,42.08,31.29,,{}
Djamel Abdallah,2002133465,12.05,2.6,26.17,,{}
Matías Correa,2002146851,28.1,51.86,47.87,,{}
Gerónimo Acevedo,2002156390,15.18,30.03,72.84,spreader,{"spreader":73}
Diego Montes,2002146729,53.73,60.59,71.77,spreader,{"spreader":72}
Ferran Seco,2000299720,33.29,13.98,30.09,,{}
Lucas,2002170894,93.01,94.54,99.67,aggressor;spreader,{"aggressor":94;"spreader":100}
Alan Sánchez,2002136212,53.73,5.99,74.77,spreader,{"spreader":75}
Rodrigo Cabrera,2000114774,1.33,19.17,67.64,,{}
Moudachirou Moussoro,2002073126,84.89,72.44,41.94,aggressor,{"aggressor":79}
Togay Büyükekşi,2002155321,7.39,19.17,43.28,,{}
Manuel,2002104583,91.81,76.23,53.79,aggressor,{"aggressor":84}
Juan Cruz Cortazzo,2000261242,0.87,72.44,82.56,spreader,{"spreader":83}
Alejandro,2002102426,46.27,3.73,28.3,,{}
Emanuel Millán,2002156647,0.53,19.17,81.82,spreader,{"spreader":82}
Alex Artaxo,2002122307,33.29,55.86,58.66,,{}
Darío,2002163377,46.27,2.4,37.62,,{}
Alex Sandro,2002161050,82.16,19.17,74.43,spreader,{"spreader":74}
Luís Fernando,2002120914,76.43,51.86,18.58,,{}
Ben Kromah,2002173730,82.16,21.17,78.76,spreader,{"spreader":79}
Alexander Heredia,2002105032,72.1,19.17,73.7,spreader,{"spreader":74}
Dininho,2002142749,82.16,6.86,99.27,spreader,{"spreader":99}
Mamaye Traoré,2002145276,72.1,13.98,22.84,,{}
Carlos Barbosa,2002173011,72.1,60.59,27.83,,{}
Patrick,2000026367,98.34,1.07,1,,{}
Luca Picco,2002192888,2.06,7.86,96.87,spreader,{"spreader":97}
Gabriel Vareta,2000147323,22.97,88.75,8.12,,{}
Gust Everaert,2002075494,98.34,99.13,3.4,aggressor,{"aggressor":99}
Valentin Gendrey,49047752,28.1,8.39,32.16,,{}
Patrick,2002171172,33.29,45.07,70.64,spreader,{"spreader":71}
Magnus Gaunsbæk,2000135671,96.67,1.07,1,,{}
Nicolás Correa,2002156298,82.16,10.32,27.83,,{}
Alessandro Di Pinto,2002162277,53.73,10.32,17.84,,{}
Gustav Bjerge,2000150201,99.67,99.6,2.73,aggressor,{"aggressor":100}
Erdem Uyar,2002162286,53.73,33.16,53.13,,{}
Arjen Robben,2002173699,87.48,65.05,7.19,,{}
