name,uid,tackleRating,headersWonRatio,progressivePassesPer90,badges,ratingScores
Hicham El Ouali,2002154438,46.27,68.64,73.97,spreader,{"spreader":74}
Charlie Row,2002120056,39.21,27.3,25.1,,{}
Juan Barinaga,14221546,53.73,68.64,46.74,,{}
Roger van de Pol,2002126210,76.43,33.16,69.17,,{}
Joaquín Moreno,2002125976,60.79,3.46,69.31,,{}
João Fonseca,2000199255,0.53,97.27,24.9,,{}
Nathan Zeze,2000116383,3.26,97.27,28.16,,{}
Max Geschwill,91190724,33.29,36.28,37.22,,{}
Julián Malatini,14247879,46.27,30.03,92.88,spreader,{"spreader":93}
Lucas Loss,2000272200,33.29,76.23,70.51,spreader,{"spreader":71}
Cauan Soares,2002121249,18.71,39.08,59.45,,{}
Yeremay Alonso,2002135528,66.78,7.46,77.3,spreader,{"spreader":77}
Arthur Yamaguchi,2002120665,15.18,68.64,15.51,,{}
Juan David Cabal,76064373,72.1,72.44,62.32,aggressor,{"aggressor":72}
Pedro Paillalef,2000304638,60.79,48.27,57.46,,{}
Syb van Ottele,37072832,7.39,17.11,50.33,,{}
Jack Hinshelwood,2000124287,53.73,12.58,46.21,,{}
Mario Gila,67277455,60.79,42.08,84.69,spreader,{"spreader":85}
Archie Brown,29217603,66.78,96.01,55.46,,{}
Jorge Herrando,67267209,12.05,72.44,27.56,,{}
Ibrahim Digberekou,2000116656,33.29,84.62,27.23,,{}
Tobías Palacio,2000272820,60.79,68.64,6.59,,{}
Pablo Ortiz,2000006274,84.89,65.05,15.71,,{}
Ignacio Galván,2000187724,0.07,72.44,88.15,spreader,{"spreader":88}
Alberto Quintana,67280840,12.05,27.3,92.08,spreader,{"spreader":92}
Tiago Barbosa,19367265,22.97,72.44,18.58,,{}
Bastien Meupiyou,2000183492,46.27,86.82,89.48,spreader,{"spreader":89}
Alan Mazzei,2002120088,53.73,33.16,89.48,spreader,{"spreader":89}
Isaak Touré,2000006106,33.29,90.48,13.25,,{}
Adlane Delaporte,2002073796,79.29,25.1,12.18,,{}
Julinho dos Santos,2002099370,66.78,72.44,86.95,spreader,{"spreader":87}
Felipe Rueda,2002136215,53.73,99.6,41.28,,{}
Marcos Olguín,2000079313,46.27,5.33,58.66,,{}
Joseda,67293813,53.73,11.45,58.66,,{}
Paulo Vitor,2000166137,60.79,94.54,51.6,,{}
Luís Gomes,2000108972,53.73,76.23,10.25,,{}
Gustavo Martins,2000083129,53.73,82.29,65.51,,{}
Sergio Pujol,2002124301,12.05,17.11,85.55,spreader,{"spreader":86}
Emile Kondé,2000055180,94.07,2.86,3.66,,{}
Kévin Mouanga,49053842,7.39,22.97,6.32,,{}
Marco Moreno,67294772,60.79,15.58,26.5,,{}
Danilo Veiga,83261126,76.43,48.27,48.47,,{}
Kenneth Schmidt,91208024,84.89,76.23,94.34,aggressor;spreader,{"aggressor":81;"spreader":94}
Hugo,2002132656,46.27,33.16,68.91,,{}
Álvaro Guzmán,2002136529,53.73,76.23,23.57,,{}
Mauro,2002074139,60.79,96.01,76.7,spreader,{"spreader":77}
Siemen Voet,18101747,99.2,1.07,1,,{}
Urko González de Zárate,2000058330,28.1,11.45,44.14,,{}
Leonardo Mendicino,2000184409,39.21,72.44,43.01,,{}
Tiago Djaló,83169969,87.48,60.59,70.24,spreader,{"spreader":70}
Casper Widell,93140656,60.79,84.62,54.99,,{}
Baptiste Roux,49046654,18.71,11.45,34.02,,{}
Cas Odenthal,37064719,7.39,22.97,21.64,,{}
Aarón Quiros,14221503,46.27,22.97,98.87,spreader,{"spreader":99}
Valentín Fascendini,2000050072,87.48,65.05,19.24,,{}
Arnau Solà,67296656,46.27,12.58,98.07,spreader,{"spreader":98}
Marc Bombardó,2000294793,39.21,48.27,72.84,spreader,{"spreader":73}
Juan Manuel,2002125973,46.27,92.54,44.14,,{}
Matheus,2000136195,60.79,55.86,36.62,,{}
Enoch Mastoras,2000126653,33.29,22.97,85.15,spreader,{"spreader":85}
Álvaro Ocampo,2000200421,72.1,82.29,88.62,aggressor;spreader,{"aggressor":77;"spreader":89}
Fabricio Santos,2002122854,18.71,45.07,75.03,spreader,{"spreader":75}
Pablo Molina,2002136173,87.48,45.07,93.48,spreader,{"spreader":93}
Franco Ortellado,14247648,72.1,82.29,54.99,aggressor,{"aggressor":77}
Abou Ba,48031488,97.47,1.07,1,,{}
Caine Wollerton,2002133512,22.97,39.08,7.52,,{}
Jorge Martínez,2002074043,66.78,27.3,91.68,spreader,{"spreader":92}
Raúl Prada,67297972,60.79,12.58,49.27,,{}
Ben Phillips,2000040375,72.1,68.64,33.62,,{}
Kayky Almeida,2000117762,4.53,33.16,10.45,,{}
Jon Martín,2000229718,7.39,86.82,41.61,,{}
Mateo Naranjo,2002074603,46.27,84.62,75.97,spreader,{"spreader":76}
