name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Jaden Slory,2000054508,30,7.45,38.18,81.09,37.09,38,42.42,22.79,,{}
Álvaro Grande,2002134600,21.94,6.42,14.73,60.12,37.09,78.24,23.39,17.88,,{}
Kazeem Olaigbe,18111482,6.12,7.45,7.27,6.48,19.09,59.7,6.73,17.88,,{}
Gaetan Dumont,2002127425,30,91.94,71.21,45.76,71.94,5.39,23.39,37.88,,{}
Omari Kellyman,2000147523,60.42,37.33,38.18,59.52,64.97,90,52.55,37.88,,{}
Franculino Djú,2000030160,2,2.61,3.45,1.33,60.55,83.88,1.39,32.79,,{}
Luca Raimund,2000180828,23.76,7.45,14.73,50.73,4.61,64.55,58.79,17.88,,{}
Famana Quizera,83209467,42,75.64,30.97,56.24,55.82,14.61,35.39,42.97,,{}
Jean-Paul Gil,2002124294,25.27,84.55,32.67,26.79,4.61,0.48,36.42,22.79,,{}
Matias Padilla,2002127670,40.36,90.12,66.3,74.97,75.27,79.76,64,42.97,,{}
Lucas,2002075059,56.79,37.33,67.27,97.64,47.03,25.88,62.61,37.88,,{}
Ekaitz Esnaola,2002124667,85.15,65.39,36.06,24.97,60.55,51.21,92.61,84.61,wide playmaker,{"wide playmaker":87}
Giacomo Sala,2002123931,81.76,32.06,21.52,37.7,60.55,91.27,54.61,74.61,,{}
Lucas Albano,2002105117,37.15,18.61,10.61,31.03,37.09,79.76,42.42,32.79,,{}
Christoph Pfister,2002075164,38.61,42.61,18.06,19.33,19.09,9.82,28.73,27.82,,{}
Juan Manuel,2002125973,10.42,26.48,55.52,69.45,60.55,3.27,17.82,9.7,,{}
Gino Infantino,14229541,54.73,91.94,56.55,33.7,51.52,31.39,44.18,32.79,,{}
Paolo Alarcón,2002143198,38.61,37.33,29.45,69.94,4.61,70.85,14.67,17.88,,{}
Giacomo Quaranta,2002133750,14.3,18.61,45.64,71.09,95.33,28.36,27.52,13.39,,{}
Enoch Mastoras,2000126653,15.94,99.94,49.94,19.7,4.61,1.52,55.7,42.97,,{}
Valerio Pugliese,2002075153,40.36,87.33,25.27,28,90.73,85.58,24.06,32.79,,{}
Jerónimo Domina,2000166219,9.52,70.91,73.39,75.52,51.52,44.36,44.97,13.39,,{}
Leonardo Toledo,2000050832,19.39,84.55,76.48,41.03,4.61,0.48,29.64,22.79,,{}
Sami Ouaissa,2000072968,95.09,54.55,72.18,75.94,19.09,51.21,95.82,96.42,wide playmaker,{"wide playmaker":96}
Pedro Santos,83297599,21.94,26.48,10.61,56.24,47.03,47.82,35.39,32.79,,{}
Joseph Amuzu,2000058377,2,2.61,3.45,1.33,23.21,34.61,1.39,9.7,,{}
Germán Oliva,2002136535,57.94,70.91,47.33,53.03,90.73,96.91,46.73,77.27,,{}
Nick Constancia,2002073392,34.24,65.39,43.82,48.61,42.55,17.09,20,17.88,,{}
Alex Luna,14236686,46.3,18.61,64.67,77.64,37.09,38,54.61,56.24,,{}
Santiago Castro,14236223,18.06,42.61,16.61,42.97,75.27,38,11.21,6.36,,{}
Pablo Castillo,2000063313,50,95.09,27.33,13.39,27.52,7.27,53.7,47.58,,{}
Mikel Herrero,2002134609,55.7,70.91,85.52,67.7,12.55,91.27,82.73,51.7,,{}
Santiago Salle,2000241983,25.27,65.39,32.67,23.94,4.61,3.27,17.03,17.88,,{}
Lucas Sabatella,2002120260,74.85,37.33,38.18,96,60.55,51.21,40.42,64.18,,{}
Ramiro Centurión,2002146989,51.39,26.48,69.88,73.82,92.42,79.76,33.88,47.58,,{}
Amine Salama,2000180911,30,70.91,14.73,12.3,68.48,85.58,21.7,3.45,,{}
Ian Rojas,2000121243,43.33,65.39,45.64,56.67,82.3,78.24,77.15,42.97,,{}
Kolja Oudenne,2000108787,88.91,65.39,56.55,95.33,89.03,47.82,73.64,84.61,wide playmaker,{"wide playmaker":82}
Josué Casimir,49048598,27.88,26.48,74.97,78.18,23.21,28.36,52.55,22.79,,{}
Mohamed Salah El Boukammiri,2000204002,30,15.27,16.61,19.94,75.27,83.88,26.73,22.79,,{}
Sydney van Hooijdonk,37070319,8.48,70.91,3.45,16.06,71.94,87.39,4.91,1.39,,{}
Allan,2002120840,87.45,65.39,85.52,97.88,51.52,78.24,79.88,98.18,wide playmaker,{"wide playmaker":89}
Valdecir Burger,2002132025,68.24,95.09,55.52,10.18,10.42,25.88,73.21,71.21,,{}
Matthew Sorinola,29198195,2,2.61,3.45,1.33,27.52,7.27,1.39,27.82,,{}
Jabes Saralegui,2000096164,65.45,32.06,20.24,4.06,12.55,34.61,79.88,51.7,,{}
Mathis Lambourde,2000191931,57.94,91.94,68.42,77.09,19.09,38,55.7,60.36,,{}
Gustavo Vallejos,2002136517,65.45,60.18,73.88,92.24,87.33,54.42,57.45,71.21,,{}
Edoardo Pierozzi,43392080,12.73,26.48,74.97,41.52,4.61,0.48,34.55,17.88,,{}
Emanuel Solé,2002136465,43.33,18.61,19.27,40.24,42.55,76.3,52.55,51.7,,{}
Javier Presedo,2002136168,19.39,93.39,48.97,8.61,4.61,5.39,19.09,17.88,,{}
Dani Pérez,2000161668,79.39,96.36,77.52,48.36,4.61,9.82,79.09,89.82,wide playmaker,{"wide playmaker":83}
Gonzalo Morales,2000050088,9.52,54.55,3.45,20.91,15.64,76.3,14.67,1.39,,{}
Mats Egbring,2000287401,40.36,87.33,79.76,88.42,27.52,31.39,53.7,27.82,,{}
Alejo Figueredo,2002105164,23.76,60.18,25.27,60.91,68.48,96.55,28.73,22.79,,{}
Mohamed Bennani,2002072885,48.12,48.73,32.67,33.7,55.82,67.09,44.18,32.79,,{}
Mattia Zanotti,43500895,34.24,54.55,64.67,22.18,4.61,0.06,51.45,17.88,,{}
David Zalazar,14253398,27.88,22.12,38.18,55.15,71.94,47.82,19.45,6.36,,{}
Matías Ferrero,2002146737,46.3,15.27,69.88,96.42,19.09,47.82,58.79,74.61,,{}
José Roberto,2002075433,6.12,84.55,10.61,6.18,51.52,7.27,9.88,6.36,,{}
Miguel Constantinescu,2000144742,86.06,48.73,82.06,93.45,31.76,31.39,89.52,95.88,wide playmaker,{"wide playmaker":90}
Emerson Batalla,2000006257,87.45,54.55,85.15,73.21,37.09,41.21,70.91,84.61,wide playmaker,{"wide playmaker":81}
Rodrigo Wilsmann,2002120085,83.33,70.91,99.09,70.61,47.03,54.42,98.18,81.94,winger;wide playmaker,{"winger":81;"wide playmaker":88}
Luka Andrade,2000204278,91.88,54.55,89.88,78.73,68.48,83.88,95.82,94.48,wide playmaker,{"wide playmaker":94}
Théo Mununga,2000307453,10.42,10.79,12.61,6.48,23.21,57.45,20.97,51.7,,{}
Gustav Mogensen,27139577,11.52,81.76,25.27,8,47.03,81.15,10.67,3.45,,{}
Matías Luján,2000095973,11.52,70.91,38.18,5.33,27.52,12.61,24.42,9.7,,{}
Jason Benjamin,28127127,18.06,8.97,45.64,54.48,31.76,23.45,74.48,17.88,,{}
Marokhy Ndione,93087474,2,2.61,3.45,1.33,23.21,74.3,1.39,3.45,,{}
