name,uid,posessionWonPer90,tackleRating,headersWonRatio,keyPasses,openCrossesRatio,openSucessfullCrosses90,sprints,dribbles,badges,ratingScores
Festy Ebosele,29216094,99.35,77.91,81.47,93.21,61.53,92.46,95.58,97.2,wide defender,{"wide defender":86}
Raoul Bellanova,43295110,73.6,28.02,63.69,56.47,42.78,77.05,80.5,70.15,,{}
Tomás Rayas,2002074268,65.95,65.73,69.94,48.06,32.97,57,78.56,70.15,,{}
Olivier Boscagli,48031641,39.12,35.02,63.69,16.38,74.25,42.13,40.3,37.28,,{}
Joaquín Gutiérrez,75055403,40.3,35.02,14.01,90.84,77.69,89.33,72.2,56.36,,{}
Alexandre Penetra,83228369,84.38,43.32,57.54,58.3,85.34,45.8,43.43,34.38,,{}
Aaron Kabangu,2002073695,13.9,95.69,7.87,96.98,61.53,92.89,44.07,97.95,,{}
Josseph Rovira,2002074227,44.07,18.32,75.54,9.05,6.57,6.68,24.68,9.59,,{}
Jarrad Branthwaite,29226000,89.01,65.73,98.28,13.04,18.21,25.65,41.06,26.72,,{}
Gonçalo Simões,2002133569,90.09,91.7,75.54,33.73,74.25,50.65,42.13,43.32,wide defender,{"wide defender":86}
Leonardo Barroso,2000142793,43,86.85,15.95,70.91,66.06,76.19,56.79,93.43,,{}
Achraf Hakimi,67228634,98.28,35.02,28.23,60.67,61.53,6.68,57.87,69.4,,{}
Santiago Rodríguez,2002146627,29.42,12.39,47.52,26.62,6.57,6.68,39.66,24.03,,{}
Bafodé Diakité,49038967,82.54,43.32,66.7,31.25,25.86,28.99,29.2,34.38,,{}
Hjalmar Ekdal,93070264,10.99,22.52,50,4.53,6.57,6.68,31.68,7.11,,{}
Borna Leutar,2000245750,67.89,43.32,66.7,31.25,56.68,25.65,18.21,25.75,,{}
Jusuf Gazibegović,16191707,59.27,89.66,32.44,78.56,22.95,80.6,87.28,79.96,,{}
Chumi,95036003,50.65,43.32,78.45,10.24,42.78,15.84,18,9.59,,{}
Felipe Loyola,75050238,30.06,4.96,38.04,29.85,18.21,15.84,52.48,35.67,,{}
Moritz Jenz,29162924,54.31,43.32,60.78,23.71,6.57,6.68,13.25,15.73,,{}
Emanuel Aiwu,16191306,65.41,7.65,75.54,7.44,56.68,27.59,26.4,19.29,,{}
Park Kyu-Hyun,66045517,78.99,71.98,91.16,46.77,76.51,58.73,33.94,59.7,wide defender,{"wide defender":81}
Kofi Balmer,52085051,13.69,65.73,45.37,24.68,89.98,37.07,30.6,23.6,,{}
Roberto Callejón,2002124478,91.49,51.08,66.7,71.66,32.97,54.09,84.38,41.38,,{}
Arnoldo Quintão,2002152703,17.67,43.32,38.04,85.13,66.06,18.64,47.74,58.3,,{}
Julián Araujo,72053642,45.58,82.76,25.11,53.45,52.48,73.17,70.58,71.23,,{}
Andreas Hermann,2002072330,38.04,89.66,63.69,24.68,89.98,18.64,25.11,13.15,,{}
Bryan Reynolds,72048187,81.79,35.02,47.52,50.97,15.84,58.73,68.86,55.82,,{}
Jiří Málek,2002126631,90.84,96.98,78.45,43.21,6.57,6.68,30.17,45.8,wide defender,{"wide defender":89}
Đorđe Savić,2002103128,64.55,9.81,52.26,33.73,86.21,42.13,33.41,35.34,,{}
Marc Pubill,2000101248,53.13,58.73,75.54,31.25,70.8,60.34,86.96,60.34,,{}
Merlin Röhl,91204520,40.95,15.09,66.7,45.69,29.42,31.57,70.37,68.75,,{}
Tommy St. Jago,37064140,33.08,22.52,75.54,3.77,6.57,6.68,31.36,15.73,,{}
Gareth McLaughlin,2002072430,26.4,18.32,21.12,62.93,20.8,68.1,95.8,79.96,,{}
Hugo Siquet,18114980,47.74,35.02,50,77.91,37.39,84.7,98.81,86.85,,{}
Julius Isah,2002144180,92.35,77.91,72.84,65.19,56.68,81.36,60.24,50.75,wide defender,{"wide defender":81}
