name,uid,posessionWonPer90,tackleRating,headersWonRatio,keyPasses,openCrossesRatio,openSucessfullCrosses90,sprints,dribbles,badges,ratingScores
Edgar Mota,2000280352,78.13,71.98,66.7,79.96,66.06,82.33,90.95,95.15,,{}
Matthew Sorinola,29198195,0.65,91.7,0.65,1.19,6.57,6.68,0.65,2.05,,{}
Nelson Burruchaga,2002074287,9.38,77.91,14.01,80.39,74.25,88.36,88.04,90.52,wing back,{"wing back":84}
Edoardo Pierozzi,43392080,72.09,58.73,57.54,62.93,37.39,80.93,63.47,77.59,,{}
Javier Presedo,2002136168,64.55,15.09,13.15,46.77,87.07,61.42,32.87,39.22,,{}
Mats Egbring,2000287401,10.56,28.02,60.78,75.32,84.16,83.51,47.95,98.81,,{}
Fábio Baptista,83297511,73.81,58.73,19.94,61.1,52.48,77.8,77.37,73.6,,{}
Mattia Zanotti,43500895,71.88,77.91,15.95,74.14,61.53,74.03,74.35,58.94,,{}
Alan Riveros,2002105168,71.34,94.61,81.47,79.2,29.42,63.69,70.15,89.33,wide defender,{"wide defender":82}
Tomás Lecanda,14223202,79.63,9.81,60.78,21.98,70.8,21.98,12.39,14.22,,{}
Marcelo Melo,2002142668,70.04,71.98,81.47,14.76,6.57,6.68,7.44,8.84,wide defender,{"wide defender":74}
Simone Canestrelli,43317665,61.85,15.09,97.74,28.13,22.95,25.65,20.69,33.73,,{}
Gabriel Reis,2000241776,61.85,35.02,60.78,97.31,37.39,93.32,96.23,93.1,,{}
Giovanni Gambini,2002123861,22.95,9.81,45.37,70.91,97.74,39.98,31.68,27.16,,{}
Rafael Fernandes,83261911,35.88,93.53,98.28,17.35,87.07,27.59,8.73,19.94,,{}
Vladimir Stojaković,2002124437,28.77,12.39,93,13.69,6.57,6.68,32.44,19.29,,{}
Jason Benjamin,28127127,51.51,9.81,38.04,88.36,18.21,58.73,66.59,84.91,,{}
Arthur Piedfort,2000122317,0.65,98.6,0.65,1.19,6.57,6.68,0.65,2.05,,{}
Loïc Dujardin,2002072482,95.26,51.08,78.45,78.56,74.25,84.16,92.78,96.66,wing back,{"wing back":85}
Renzo Giampaoli,14201366,8.94,15.09,72.84,23.71,89.98,21.98,6.14,2.05,,{}
Abel Amaya,2000035750,86.42,6.47,23.92,85.56,32.97,82.87,95.37,79.96,,{}
Serafino Bello,2002133562,84.59,43.32,88.79,21.98,70.8,35.24,7.22,14.22,,{}
Rubén Zamora,2002126173,63.79,86.85,72.84,31.25,56.68,46.98,73.6,27.69,,{}
Melvyn Dapa,2000261766,12.07,58.73,15.95,45.69,32.97,51.94,46.98,54.31,,{}
Lamine Sy,49048738,60.78,22.52,7.33,49.78,18.21,39.98,51.4,55.82,,{}
Pontus Texel,2000025157,32.54,77.91,54.63,44.61,66.06,65.19,59.81,34.91,,{}
Wilson Silvério,2002075143,6.57,22.52,14.87,87.82,42.78,46.98,63.25,69.4,,{}
Guychel Ilunga,2000144045,0.65,99.03,0.65,1.19,6.57,6.68,0.65,2.05,,{}
Guillermo Enrique,14213184,53.56,71.98,29.85,93.21,76.51,97.52,97.09,59.7,,{}
Costanzo Heredia,2000206126,38.25,65.73,40.73,13.69,56.68,21.98,33.73,9.59,,{}
Augusto López,2002146624,50.65,28.02,54.63,1.19,6.57,6.68,3.99,6.03,,{}
Kyllian Berthe,2002075464,56.79,51.08,81.47,20.37,6.57,6.68,14.01,11.75,,{}
Lautaro Vargas,2000220608,43.43,18.32,7.87,88.9,52.48,85.78,89.66,94.72,,{}
Marcelo,2002131983,57.97,6.47,57.54,94.07,48.49,96.01,83.94,71.88,,{}
Martim Fernandes,2000183245,45.26,58.73,57.54,64.44,29.42,80.06,91.7,88.79,,{}
Yiandro Raap,2000226974,27.26,9.81,47.52,28.13,89.98,25.65,9.59,25.75,,{}
Francisco Facello,2000200412,15.63,58.73,7.87,97.52,79.09,98.71,65.63,92.13,,{}
Ezequiel Navarro,14196826,49.68,22.52,42.67,32.76,70.8,43.97,36.75,33.08,,{}
Nicolás Andrés Paz,14211016,57.11,35.02,40.73,4.53,6.57,6.68,33.08,28.23,,{}
Nehuén Kruger,2000276183,35.13,77.91,3.45,64.44,42.78,75.11,58.41,81.79,,{}
Bas Nuijten,2002075262,68.86,28.02,47.52,70.91,48.49,37.07,31.03,61.1,,{}
Brian Aguilar,2000048810,19.72,3.77,84.27,23.06,99.03,21.98,3.13,10.24,,{}
Leonardo Venturelli,2002124695,37.18,65.73,43.97,54.63,29.42,68.1,91.49,73.6,,{}
Wisdom Amey,2000097938,21.88,22.52,93,10.24,6.57,6.68,3.56,4.53,,{}
Andrés Velázquez,2002136302,65.63,91.7,34.16,85.56,37.39,90.41,96.88,75.65,,{}
Jens Vermeuelen,2002072739,2.69,91.7,60.78,11.42,6.57,6.68,2.69,17.13,,{}
Cléber,2002142733,25.32,82.76,72.84,12.5,94.83,21.98,10.45,7.11,,{}
Cristian Fidalgo,2002127554,51.83,82.76,84.27,9.05,6.57,6.68,2.91,14.22,,{}
Anton Gaaei,2000138501,52.59,18.32,54.63,55.28,18.21,54.09,93.86,71.23,,{}
Stefano Turco,2000104666,25.75,28.02,10.13,60.13,48.49,82.87,44.72,79.96,,{}
Nuno Correia,2000183113,79.2,65.73,69.94,19.29,14.44,25.65,39.66,45.04,,{}
Adam Bakoune,2000183048,69.07,82.76,91.16,34.91,37.39,69.29,56.25,67.56,,{}
Martin Williams,2002074485,95.58,28.02,21.12,61.85,56.68,58.73,53.13,85.45,,{}
Alessandro Pane,2002125935,41.92,28.02,99.78,12.5,6.57,6.68,10.02,12.39,,{}
João Conceição,2000104442,46.66,65.73,14.87,39.87,25.86,55.82,77.91,42.56,,{}
Shadi Guillet,2000307456,1.83,99.03,40.73,2.91,6.57,6.68,1.4,2.05,,{}
Luis Martín,2002124393,76.83,51.08,21.12,51.94,13.69,35.24,59.16,72.63,,{}
Franco Ayala,2000140967,38.69,4.96,94.72,13.69,99.03,21.98,6.36,5.28,,{}
Gustav Fraulo,2000140125,0.65,99.57,0.65,1.19,6.57,6.68,0.65,2.05,,{}
Lucas Bernabéu,2000200446,65.09,7.65,75.54,5.82,22.95,21.98,10.24,30.82,,{}
Kevin Albertini,2002162530,85.56,86.85,42.67,58.3,52.48,63.69,75.75,57.33,,{}
Rui Silva,2002124091,76.4,77.91,96.34,40.84,52.48,48.81,75.32,51.51,wide defender,{"wide defender":84}
Patricio Pernicone,14222103,33.94,1.72,84.27,13.69,96.55,21.98,9.16,22.31,,{}
Alejo Prado,2002146642,58.3,58.73,50,21.98,6.57,6.68,8.51,2.05,,{}
Elías Brito,2000176501,23.17,65.73,18.1,76.08,89.98,85.24,72.95,77.05,wing back,{"wing back":80}
Rodrigo Nuzzolese,2002136250,70.8,58.73,45.37,52.8,20.8,37.07,73.17,29.31,,{}
Agustín Levi,2002074076,11.31,71.98,52.26,5.82,6.57,6.68,3.77,18.32,,{}
Guillem Víctor,2000297346,67.35,65.73,54.63,32.76,29.42,61.42,76.19,58.94,,{}
Charlie Davisson,2002072290,74.14,28.02,63.69,50.97,37.39,61.42,94.94,41.38,,{}
Miguel Flores,2002156594,33.62,71.98,5.5,84.59,48.49,72.09,87.61,66.49,,{}
Riccardo Turicchia,43500853,57.11,94.61,86.64,59.05,81.9,66.49,63.04,47.95,,{}
Lasse Rosenboom,91187792,59.27,71.98,78.45,56.47,14.44,64.44,82.65,72.95,,{}
Carciano Barbato,2000135601,80.17,22.52,98.71,44.61,76.51,61.42,46.66,36.53,,{}
Damián Fernández,14222102,18.43,91.7,27.05,9.05,96.55,21.98,12.61,5.28,,{}
Cristian Macías,2002099372,64.55,15.09,38.04,37.61,25.86,65.19,83.08,60.34,,{}
Bruno,2002120097,93,82.76,96.34,92.35,85.34,96.55,80.93,53.88,wide defender,{"wide defender":91}
Kelvin Flórez,2000069656,4.85,65.73,6.25,98.6,70.8,84.7,53.77,91.16,,{}
Maik Kling,2002153689,67.56,82.76,60.78,82.44,56.68,87.93,86.53,78.34,,{}
Samuel Koné,2002123065,48.71,28.02,93,19.29,81.9,25.65,10.99,6.03,,{}
Rousimar Sestrem,2002152637,41.38,96.98,81.47,31.25,95.91,67.03,35.67,45.04,,{}
Luciano Campos,2000144496,16.27,43.32,63.69,68.43,6.57,6.68,18.97,10.24,,{}
Eddie Vermeuelen,37088144,0.65,96.98,0.65,1.19,6.57,6.68,0.65,2.05,,{}
Andreas Bruus,27116286,3.77,96.98,57.54,27.26,18.21,39.98,24.35,42.56,,{}
Hichem Belkacemi,2002073863,78.45,43.32,29.31,54.09,48.49,55.82,48.17,41.38,,{}
Julio Cano,2002134914,33.62,9.81,93,5.82,42.78,15.84,25.75,18.32,,{}
Aldo Guerrini,2002144653,44.4,93.53,98.71,38.47,52.48,65.95,55.71,29.31,,{}
Julian Eitschberger,2000154590,52.91,43.32,32.44,74.68,37.39,90.41,92.56,85.24,,{}
Gastón Parafita,2002136262,36.85,28.02,54.63,4.53,6.57,6.68,20.37,2.05,,{}
Ricardo Rakotoharimalala,2002100293,11.53,9.81,93,14.76,6.57,6.68,6.79,4.53,,{}
Jeremías Blanco,2000272835,57.97,35.02,84.27,65.95,32.97,58.73,58.84,46.55,,{}
Joël Woto Putu Matadi,2000299239,2.48,97.84,54.63,18.64,20.8,39.98,26.72,38.25,,{}
Dinay Bierstekers,2000314308,59.81,58.73,47.52,77.91,48.49,88.36,76.83,74.25,,{}
João Pedro,2002120602,4.63,0.32,11.96,73.06,96.55,35.24,41.92,29.85,,{}
Blas Benedetto,2000281963,75.22,86.85,10.88,46.77,74.25,81.36,46.44,67.78,,{}
Yasin Karabulut,2002133225,15.09,22.52,34.16,13.69,6.57,6.68,20.69,13.15,,{}
Biel,2000146945,56.47,22.52,3.88,91.27,66.06,93.64,54.2,65.84,,{}
Charlie Molyneaux,2000035479,68.21,71.98,35.88,39.33,13.69,18.64,59.38,52.8,,{}
Leighton McCone,29235898,84.16,86.85,94.72,51.94,20.8,28.99,66.27,49.03,wide defender,{"wide defender":89}
Thorsten Bade,2002072459,47.95,43.32,25.11,95.58,56.68,95.26,85.45,69.4,,{}
Santos,2002120766,58.73,65.73,99.78,57.44,66.06,68.1,61.31,47.31,,{}
David Iribarren,2002134435,77.26,51.08,94.72,67.89,96.55,42.13,37.07,32.11,,{}
Filipe Destefano,2002120919,66.92,2.48,38.04,72.52,66.06,82.33,56.57,39.22,,{}
Lucas Cano,2002128829,14.55,15.09,52.26,67.24,88.25,53.02,35.13,48.38,,{}
Steyn Baas,2002133482,32,6.47,63.69,48.81,48.49,27.59,22.31,27.69,,{}
Juan Campos,2000249261,71.01,51.08,50,76.08,94.83,77.05,59.59,50.75,,{}
Tomás Trancoso,2002124175,37.61,77.91,60.78,25.32,42.78,18.64,19.29,25.75,,{}
Leonardo,2002131821,48.71,22.52,47.52,8.08,6.57,6.68,24.89,7.11,,{}
Iván Freyre,2002127300,63.79,1.19,84.27,49.78,81.9,54.96,73.81,60.34,,{}
Santiago Rodríguez,2000051728,14.22,95.69,4.63,39.87,32.97,72.09,70.91,89.66,,{}
Junior Diomandé,18107458,56.47,71.98,18.1,38.47,74.25,78.45,47.52,77.59,,{}
Gürbüz Güngör,2002133684,75.75,35.02,19.94,63.79,25.86,69.29,63.9,80.82,,{}
Luís Henriques,2002073566,50.11,35.02,86.64,31.25,15.84,15.84,35.99,38.47,,{}
Hakan Goeminne,2002127043,2.26,99.03,57.54,15.63,42.78,25.65,2.05,10.24,,{}
Xavi Espart,2000298787,6.9,4.96,11.96,53.45,66.06,39.98,49.68,42.03,,{}
Tobías Rubio,2000045678,21.34,86.85,40.73,52.8,88.25,62.72,17.35,17.13,,{}
Frédéric Moser,2002123981,9.59,22.52,25.97,56.47,70.8,65.95,52.69,49.89,,{}
Sergio Álvarez,2002074307,26.4,89.66,28.23,45.69,89.98,61.42,65.84,50.75,,{}
Julián Escalante,2002156503,30.82,71.98,15.95,43.21,70.8,69.29,37.61,51.94,,{}
Enzo Benítez,2000148350,35.13,12.39,66.7,21.98,87.07,31.57,14.76,5.28,,{}
Michael Webo,2002162270,36.53,65.73,42.67,37.07,25.86,55.82,74.78,56.36,,{}
Théo Cenci,18110542,1.4,99.89,4.63,2.59,6.57,6.68,1.83,12.39,,{}
Guillermo Amaya,2002127459,33.3,12.39,52.26,7.44,6.57,6.68,17.03,26.4,,{}
Nurettin Yeşilçay,2002099532,26.83,35.02,57.54,49.78,97.41,58.73,41.49,32.11,,{}
Miguel Ángel Carrillo,2002145124,55.28,86.85,22.41,70.91,94.83,39.98,41.27,58.94,,{}
Grigorio Luis Sica,2002127497,55.5,28.02,8.41,93.21,56.68,96.23,90.95,74.25,,{}
Oumar N'Diaye,2002124612,66.92,51.08,52.26,6.79,6.57,6.68,13.25,15.73,,{}
Helge Kündig,2002153669,8.51,77.91,19.94,78.56,32.97,85.24,64.55,86.85,,{}
Jaden Meijer,2002072550,30.28,43.32,9.16,39.33,25.86,54.09,72.52,48.81,,{}
Vitor Reis,2000227269,34.16,22.52,38.04,98.81,81.9,99.25,81.57,81.14,wing back,{"wing back":89}
Alejandro Villalba,2000049727,5.71,98.28,96.34,21.01,99.03,21.98,13.69,2.05,,{}
Marcos Abraham,2002136252,13.47,35.02,3.13,54.09,79.09,51.94,50.65,37.28,,{}
Amund Midtgård,2002153556,41.92,22.52,66.7,14.76,97.95,33.51,15.3,15.73,,{}
Gaetano Giannoccoli,2000268502,41.38,43.32,23.92,43.21,56.68,67.03,46.01,64.98,,{}
Youssif Dikeni,2000297453,55.82,1.72,99.25,24.68,6.57,6.68,22.52,8.84,,{}
Francesco Donati,43391796,93.86,22.52,66.7,29.09,76.51,37.07,66.59,56.36,,{}
Álvaro Santos,2000274662,70.47,77.91,16.81,36.1,22.95,58.73,43.64,83.19,,{}
Martín,2002102105,19.72,82.76,57.54,16.38,6.57,6.68,30.17,14.22,,{}
Tomás Maidana,2002127458,20.37,3.13,34.16,9.05,89.98,21.98,5.06,24.78,,{}
Jorge Alberto,2002120507,56.14,51.08,60.78,24.68,6.57,6.68,14.01,15.73,,{}
Emanuel Silva,2002075326,12.07,4.96,32.44,31.25,6.57,6.68,17.78,11.75,,{}
Maximilian Laessig,2000125837,7.76,82.76,69.94,11.42,99.03,15.84,2.48,4.53,,{}
Laurin Fensel,2002125031,90.09,43.32,84.27,44.61,48.49,80.06,78.13,74.25,,{}
João Silva,2002123301,8.73,65.73,57.54,4.53,37.39,15.84,5.39,7.11,,{}
Renzo Alberini,2002136289,9.91,58.73,6.25,94.4,29.42,93.32,61.85,76.72,,{}
Francesco Scalini,2002144655,32.22,9.81,18.1,38.47,29.42,39.98,31.03,30.82,,{}
Yannick Pasveer,2002123938,17.67,12.39,28.23,79.96,79.09,94.29,70.91,98.38,wing back,{"wing back":85}
Guido Benítez,2002146890,79.42,65.73,93,70.04,48.49,75.11,82.44,57.33,,{}
Estêvão Brunheta,2002075432,45.8,51.08,88.79,42.03,79.09,70.47,46.98,68.21,,{}
Sulaiman Eze,2002099468,49.25,35.02,69.94,3.45,6.57,6.68,8.19,8.08,,{}
Cristian,2002120008,19.29,0.75,30.93,50.97,87.07,73.17,37.07,58.3,,{}
Yuri Dell'Atti,2002124361,70.04,71.98,22.41,32.76,37.39,65.95,75.11,61.42,,{}
Adam Andersen,2000150127,3.99,86.85,23.92,8.08,70.8,33.51,5.39,17.13,,{}
Gerónimo Acevedo,2002156390,28.45,9.81,50,25.86,6.57,6.68,11.64,6.03,,{}
Diego Montes,2002146729,74.14,43.32,75.54,44.61,89.98,43.97,11.31,33.08,,{}
Conrado Gómez,2000077721,19.07,18.32,14.01,37.07,25.86,58.73,48.38,22.31,,{}
Thomas van Dijk,2002145320,43.43,86.85,2.69,43.21,66.06,72.09,67.78,30.28,,{}
Justin von der Hitz,2000180865,21.66,58.73,22.41,31.25,25.86,72.09,64.33,77.91,,{}
Marley Cruz,2000228589,7.22,43.32,1.83,97.95,42.78,89.87,78.77,98.6,,{}
Emanuel Millán,2002156647,13.04,0.11,40.73,6.79,6.57,6.68,3.34,6.03,,{}
Alex Artaxo,2002122307,64.12,22.52,72.84,25.86,81.9,21.98,19.94,2.05,,{}
Darío,2002163377,46.98,35.02,3.45,61.85,81.9,68.1,85.99,33.08,,{}
Alex Sandro,2002161050,31.68,82.76,40.73,56.47,70.8,67.03,78.34,57.87,,{}
Luís Fernando,2002120914,12.61,71.98,69.94,20.37,94.83,33.51,9.38,2.05,,{}
Ben Kromah,2002173730,18.1,82.76,42.67,23.71,6.57,6.68,20.15,36.53,,{}
José Antonio Moyano,2002145663,47.41,3.13,40.73,1.19,6.57,6.68,44.29,26.72,,{}
Alexander Heredia,2002105032,32.87,65.73,40.73,3.13,6.57,6.68,10.67,7.11,,{}
Dininho,2002142749,18.1,82.76,23.92,52.8,29.42,55.82,42.89,78.99,,{}
Gastón Cinquetti,2002136267,25.75,2.48,9.16,48.81,56.68,65.95,92.13,55.17,,{}
Ernesto Garrido,2002156513,79.85,22.52,93,29.85,6.57,6.68,68.64,66.92,,{}
Luca Picco,2002192888,38.47,1.72,27.05,48.81,20.8,39.98,50.11,46.88,,{}
Valentin Gendrey,49047752,41.92,18.32,28.23,29.85,42.78,43.97,57.65,46.55,,{}
Nicolás Correa,2002156298,36.85,82.76,29.85,18.21,6.57,6.68,4.53,8.84,,{}
Daniel Dionisi,2000088151,50.11,43.32,10.13,61.85,42.78,55.82,62.18,90.09,,{}
Rick Buijs,2002145181,98.6,12.39,22.41,71.98,56.68,80.6,49.89,29.31,,{}
German Bossio,2002164587,38.9,58.73,21.12,44.61,88.25,65.19,55.5,44.07,,{}
Jeppe Mouritsen,2002162300,69.72,15.09,14.87,3.45,6.57,6.68,5.93,2.05,,{}
Tiago Floro,2002154667,13.25,43.32,22.41,60.13,84.16,57,61.53,29.31,,{}
