name,uid,keyPasses,chancesCreated,npXG,badges,ratingScores
Felipe Amaral,19408947,63.1,7.74,21.73,,{}
Matías González,14244919,7.74,97.32,1.79,,{}
Filippo Grassi,2002075420,75,68.75,78.57,,{}
Franco Watson,14224724,87.2,96.73,96.43,advanced playmaker,{"advanced playmaker":93}
João Pedro,2002119993,35.12,88.99,12.8,,{}
Gabriel Silva,19360961,97.92,99.7,89.58,advanced playmaker,{"advanced playmaker":96}
Matheus França,2000090823,94.64,18.15,63.39,,{}
Nicolas,19406071,90.48,85.42,93.45,advanced playmaker,{"advanced playmaker":90}
Didier Van de Voorde,2002144216,75,81.25,66.67,,{}
Stefan Vojinović,2002075662,87.8,36.01,10.71,,{}
Christian Sinisgallo,2002133565,84.52,47.92,42.86,,{}
Davide Corelli,2002135437,69.05,87.8,86.9,,{}
Adriano Yonezawa,2002119874,72.32,71.13,3.57,,{}
Ezequiel Fernández,14247304,25,10.71,38.69,,{}
Luciano Ferreyra,14227040,11.61,83.33,10.71,,{}
Mauro Carrizo,2000260155,66.37,36.01,3.57,,{}
Abbévi Bissirou,2002075511,56.25,47.92,78.57,,{}
Aritz Bilbao,2002134608,66.37,40.18,31.85,,{}
Mikey Moore,2000298715,10.12,4.46,21.73,,{}
Gabriel,2002152608,22.92,71.13,98.81,,{}
Ekaitz Esnaola,2002124667,64.58,54.46,46.73,,{}
Pablo Correa,2002127286,16.96,88.99,6.85,,{}
Sami Ouaissa,2000072968,82.14,85.42,46.73,,{}
Mikel Herrero,2002134609,5.06,7.74,96.43,,{}
Jandro Orellana,219032,75,55.95,1.79,,{}
Sebastián Sánchez,2000049548,88.99,73.81,38.69,,{}
Bernardo Valim,2000218553,27.08,25,72.32,,{}
Miguel Constantinescu,2000144742,47.32,57.14,21.73,,{}
Rodrigo Wilsmann,2002120085,94.64,47.92,52.68,,{}
Luciano Barrientos,2000312141,78.27,41.96,10.71,,{}
Luka Andrade,2000204278,82.14,76.79,89.58,advanced playmaker,{"advanced playmaker":83}
Emanuel Barco,2002146700,75,76.79,14.29,,{}
Florian Schärtel,2002120401,52.38,52.38,68.45,,{}
Ivenzo Thier,2000249737,16.96,5.65,78.57,,{}
Davide Bagnato,2002074013,75,66.07,27.68,,{}
Arlindo,2002121797,25,81.85,38.69,,{}
Axel Guerra,2000028232,47.32,63.69,69.64,,{}
Marcelo Mendoza,2002127270,14.58,3.87,16.96,,{}
Matías Lugo,2000051668,5.06,66.07,6.85,,{}
Julián Núñez,2002156592,1.79,31.55,99.7,,{}
Otacílio Cardoso,2002131895,79.17,19.94,66.67,,{}
Jonathan Almirón,2002074565,56.25,36.01,31.85,,{}
Gastón Giacone,2002136700,10.12,0.3,52.68,,{}
Liam Aubele,2002125610,38.69,10.71,89.58,,{}
Lautaro Reyes,2002127307,75,15.77,3.57,,{}
Gabriel Carvalho,2000273988,38.69,66.07,60.71,,{}
Pablo Desideri,2002128847,83.33,90.48,46.73,,{}
Daniel Pugliese,2000029943,56.25,40.18,31.85,,{}
David Bowers,2002133290,20.24,50.3,94.94,,{}
Thiago Zamora,2002127739,66.37,28.87,52.68,,{}
Esteban Bianchi,2002146875,29.46,36.01,72.32,,{}
Lima,2002121036,83.33,28.87,6.85,,{}
Martín Zárate,14219610,22.92,33.04,58.33,,{}
Eric da Silva,2002122511,1.79,0.89,34.82,,{}
Gustavo Villarroel,2000148512,25,10.71,6.85,,{}
Miguel Nieto,2002073106,79.17,5.65,69.64,,{}
Leonel Pavón,2002106441,47.32,36.01,21.73,,{}
Pereira,2002120763,12.8,1.49,27.68,,{}
Natan Benazzi,2002161130,7.74,19.94,52.68,,{}
Daniel Insfrán,2000294350,52.38,50.3,72.32,,{}
Daniel Mancinelli,2002074074,86.31,83.33,10.71,,{}
Guillermo Pisani,2002128505,5.06,36.01,78.57,,{}
Siloé Nunes Melo,2002121702,1.79,3.27,84.52,,{}
Lucas Loureiro,2002170963,45.24,21.13,75.6,,{}
